Family,Genus,Species with author,taxon_name,Establishment means,Price 1979,Price 1988,Gibson 1992,Mesaglio 2023
Cyperaceae,Isolepis,Isolepis cernua (Vahl) Roem. & Schult.,Isolepis cernua,native,No,No,Yes,Yes
Cyperaceae,Lepidosperma,Lepidosperma laterale R.Br.,Lepidosperma laterale,native,Yes,Yes,No,Yes
Cyperaceae,Schoenus,Schoenus apogon Roem. & Schult.,Schoenus apogon,native,No,No,Yes,Yes
Dennstaedtiaceae,Pteridium,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum,native,Yes,Yes,No,Yes
Dilleniaceae,Hibbertia,Hibbertia aspera DC. ,Hibbertia aspera,native,Yes,Yes,No,Yes
Dilleniaceae,Hibbertia,Hibbertia diffusa R.Br. ex DC.,Hibbertia diffusa,native,Yes,Yes,No,Yes
Dilleniaceae,Hibbertia,Hibbertia pedunculata R.Br. ex DC.,Hibbertia pedunculata,native,Yes,Yes,No,Yes
Droseraceae,Drosera,Drosera peltata Thunb.,Drosera peltata,native,Yes,Yes,No,Yes
Ericaceae,Leucopogon,Leucopogon affinis R.Br.,Leucopogon affinis,native,Yes,Yes,No,Yes
Ericaceae,Leucopogon,Leucopogon juniperinus R.Br.,Leucopogon juniperinus,native,Yes,Yes,No,Yes
Ericaceae,Lissanthe,Lissanthe strigosa (Sm.) R.Br.,Lissanthe strigosa,native,Yes,Yes,No,Yes
Euphorbiaceae,Homalanthus,Homalanthus populifolius Graham,Homalanthus populifolius,native,Yes,Yes,No,Yes
Fabaceae,Acacia,Acacia binervia (J.C.Wendl.) J.F.Macbr.,Acacia binervia,native,Yes,Yes,No,Yes
Fabaceae,Acacia,Acacia brownii (Poir.) Steud.,Acacia brownii,native,Yes,Yes,No,Yes
Fabaceae,Acacia,Acacia decurrens Willd.,Acacia decurrens,native,Yes,Yes,No,Yes
Fabaceae,Acacia,Acacia falcata Willd.,Acacia falcata,native,Yes,Yes,No,Yes
Fabaceae,Acacia,Acacia longifolia (Andrews) Willd. ,Acacia longifolia,native,Yes,Yes,No,Yes
Fabaceae,Acacia,Acacia parramattensis Tindale,Acacia parramattensis,native,Yes,Yes,No,Yes
Fabaceae,Acacia,Acacia pubescens (Vent.) R.Br.,Acacia pubescens,native,Yes,Yes,No,Yes
Fabaceae,Acacia,Acacia ulicifolia (Salisb.) Court,Acacia ulicifolia,native,Yes,Yes,No,Yes
Fabaceae,Bossiaea,Bossiaea buxifolia A.Cunn.,Bossiaea buxifolia,native,Yes,Yes,No,Yes
Fabaceae,Bossiaea,Bossiaea prostrata R.Br.,Bossiaea prostrata,native,Yes,Yes,No,Yes
Fabaceae,Chorizema,Chorizema parviflorum Benth.,Chorizema parviflorum,native,Yes,Yes,No,Yes
Fabaceae,Daviesia,Daviesia ulicifolia Andrews ,Daviesia ulicifolia,native,Yes,Yes,No,Yes
Fabaceae,Desmodium,Desmodium rhytidophyllum F.Muell. ex Benth.,Desmodium rhytidophyllum,native,No,Yes,No,Yes
Fabaceae,Desmodium,Desmodium varians (Labill.) G.Don,Desmodium varians,native,Yes,Yes,No,Yes
Fabaceae,Dillwynia,Dillwynia sieberi Steud.,Dillwynia sieberi,native,Yes,Yes,No,Yes
Fabaceae,Glycine,Glycine clandestina J.C.Wendl.,Glycine clandestina,native,Yes,Yes,No,Yes
Fabaceae,Glycine,Glycine microphylla (Benth.) Tindale,Glycine microphylla,native,No,No,Yes,Yes
