family,species_author,taxon_name,mesaglio_2024
Rutaceae,Asterolasia correifolia (A.Juss.) Benth.,Asterolasia correifolia,no
Santalaceae,Exocarpos strictus R.Br.,Exocarpos strictus,no
Santalaceae,Omphacomeria acerba (R.Br.) A.DC.,Omphacomeria acerba,no
Typhaceae,Typha domingensis Pers.,Typha domingensis,no
Violaceae,Viola betonicifolia Sm.,Viola betonicifolia,no
Acanthaceae,Brunoniella australis (Cav.) Bremek.,Brunoniella australis,yes
Acanthaceae,Brunoniella pumilio (R.Br.) Bremek.,Brunoniella pumilio,yes
Amaranthaceae,Alternanthera denticulata R.Br.,Alternanthera denticulata,yes
Apiaceae,Centella asiatica (L.) Urb.,Centella asiatica,yes
Apocynaceae,Vincetoxicum barbatum (R.Br.) Kuntze,Vincetoxicum barbatum,yes
Araliaceae,Hydrocotyle sibthorpioides Lam.,Hydrocotyle sibthorpioides,yes
Araliaceae,Polyscias sambucifolia (Sieber ex DC.) Harms,Polyscias sambucifolia,yes
Asparagaceae,Arthropodium sp. South-east Highlands (N.G.Walsh 811) Vic. Herbarium,Arthropodium sp. South-east Highlands (N.G.Walsh 811) Vic. Herbarium,yes
Asparagaceae,Eustrephus latifolius R.Br.,Eustrephus latifolius,yes
Asparagaceae,Laxmannia gracilis R.Br.,Laxmannia gracilis,yes
Asparagaceae,Lomandra longifolia Labill.,Lomandra longifolia,yes
Asparagaceae,Lomandra multiflora (R.Br.) Britten,Lomandra multiflora,yes
Asparagaceae,Lomandra filiformis (Thunb.) Britten,Lomandra filiformis ,yes
Asparagaceae,Thysanotus tuberosus R.Br.,Thysanotus tuberosus,yes
Asteraceae,Brachyscome triloba Gaudich.,Brachyscome triloba,yes
Asteraceae,Calotis cuneifolia R.Br.,Calotis cuneifolia,yes
Asteraceae,Calotis lappulacea Benth.,Calotis lappulacea,yes
Asteraceae,Cassinia sifton Orchard,Cassinia sifton,yes
Asteraceae,Centipeda minima (L.) A.Braun & Asch. ,Centipeda minima,yes
Asteraceae,Chrysocephalum apiculatum (Labill.) Steetz,Chrysocephalum apiculatum,yes
Asteraceae,Cotula australis (Sieber ex Spreng.) Hook.f.,Cotula australis,yes
Asteraceae,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium cinereum,yes
Asteraceae,Euchiton sphaericus (Willd.) Holub,Euchiton sphaericus,yes
Asteraceae,Glossocardia bidens (Retz.) Veldkamp,Glossocardia bidens,yes
Asteraceae,Lagenophora sublyrata (Cass.) A.R.Bean & Jian Wang ter,Lagenophora sublyrata,yes
Asteraceae,Olearia microphylla (Vent.) Maiden & Betche,Olearia microphylla,yes
Asteraceae,Olearia viscidula (F.Muell.) Benth.,Olearia viscidula,yes
Asteraceae,Ozothamnus diosmifolius (Vent.) DC.,Ozothamnus diosmifolius,yes
Asteraceae,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Pseudognaphalium luteoalbum,yes
Asteraceae,Senecio hispidulus A.Rich.,Senecio hispidulus,yes
Asteraceae,Solenogyne bellioides Cass.,Solenogyne bellioides,yes
Asteraceae,Triptilodiscus pygmaeus Turcz.,Triptilodiscus pygmaeus,yes
Asteraceae,Vittadinia cuneata DC. ,Vittadinia cuneata,yes
Bignoniaceae,Pandorea pandorana (Andrews) Steenis,Pandorea pandorana,yes
Campanulaceae,Lobelia anceps L.f.,Lobelia anceps,yes
Campanulaceae,Lobelia purpurascens R.Br.,Lobelia purpurascens,yes
Campanulaceae,Wahlenbergia gracilis (G.Forst.) A.DC.,Wahlenbergia gracilis,yes
Casuarinaceae,Allocasuarina torulosa (Aiton) L.A.S.Johnson,Allocasuarina torulosa,yes
Casuarinaceae,Casuarina glauca Sieber ex Spreng.,Casuarina glauca,yes
Celastraceae,Denhamia silvestris (Lander & L.A.S.Johnson) M.P.Simmons,Denhamia silvestris,yes
Celastraceae,Stackhousia muricata Lindl.,Stackhousia muricata,yes
Chenopodiaceae,Einadia hastata (R.Br.) A.J.Scott,Einadia hastata,yes
Chenopodiaceae,Einadia polygonoides (Murr) Paul G.Wilson,Einadia polygonoides,yes
Chenopodiaceae,Einadia trigonos (Schult.) Paul G.Wilson,Einadia trigonos,yes
Commelinaceae,Commelina cyanea R.Br.,Commelina cyanea,yes
Convolvulaceae,Dichondra repens J.R.Forst. & G.Forst.,Dichondra repens,yes
Convolvulaceae,Polymeria calycina R.Br.,Polymeria calycina,yes
Crassulaceae,Crassula sieberiana (Schult. & Schult.f.) Druce,Crassula sieberiana,yes
Cyperaceae,Carex inversa R.Br.,Carex inversa,yes
Cyperaceae,Gahnia aspera (R.Br.) Spreng.,Gahnia aspera,yes
Cyperaceae,Gahnia melanocarpa R.Br.,Gahnia melanocarpa,yes
Cyperaceae,Isolepis cernua (Vahl) Roem. & Schult.,Isolepis cernua,yes
Cyperaceae,Lepidosperma laterale R.Br.,Lepidosperma laterale,yes
Cyperaceae,Schoenus apogon Roem. & Schult.,Schoenus apogon,yes
Dennstaedtiaceae,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum,yes
Dilleniaceae,Hibbertia aspera DC. ,Hibbertia aspera,yes
Dilleniaceae,Hibbertia diffusa R.Br. ex DC.,Hibbertia diffusa,yes
Dilleniaceae,Hibbertia pedunculata R.Br. ex DC.,Hibbertia pedunculata,yes
Droseraceae,Drosera peltata Thunb.,Drosera peltata,yes
Ericaceae,Leucopogon affinis R.Br.,Leucopogon affinis,yes
Ericaceae,Leucopogon juniperinus R.Br.,Leucopogon juniperinus,yes
Ericaceae,Lissanthe strigosa (Sm.) R.Br.,Lissanthe strigosa,yes
Euphorbiaceae,Homalanthus populifolius Graham,Homalanthus populifolius,yes
Fabaceae,Acacia binervia (J.C.Wendl.) J.F.Macbr.,Acacia binervia,yes
Fabaceae,Acacia brownii (Poir.) Steud.,Acacia brownii,yes
Fabaceae,Acacia decurrens Willd.,Acacia decurrens,yes
Fabaceae,Acacia falcata Willd.,Acacia falcata,yes
Fabaceae,Acacia longifolia (Andrews) Willd. ,Acacia longifolia,yes
Fabaceae,Acacia parramattensis Tindale,Acacia parramattensis,yes
Fabaceae,Acacia pubescens (Vent.) R.Br.,Acacia pubescens,yes
Fabaceae,Acacia ulicifolia (Salisb.) Court,Acacia ulicifolia,yes
Fabaceae,Bossiaea buxifolia A.Cunn.,Bossiaea buxifolia,yes
Fabaceae,Bossiaea prostrata R.Br.,Bossiaea prostrata,yes
Fabaceae,Chorizema parviflorum Benth.,Chorizema parviflorum,yes
Fabaceae,Daviesia ulicifolia Andrews,Daviesia ulicifolia,yes
Fabaceae,Desmodium rhytidophyllum F.Muell. ex Benth.,Desmodium rhytidophyllum,yes
Fabaceae,Desmodium varians (Labill.) G.Don,Desmodium varians,yes
Fabaceae,Dillwynia sieberi Steud.,Dillwynia sieberi,yes
Fabaceae,Glycine clandestina J.C.Wendl.,Glycine clandestina,yes
Fabaceae,Glycine microphylla (Benth.) Tindale,Glycine microphylla,yes
Fabaceae,Glycine tabacina (Labill.) Benth.,Glycine tabacina,yes
Fabaceae,Hardenbergia violacea (Schneev.) Stearn,Hardenbergia violacea,yes
Fabaceae,Hovea linearis (Sm.) R.Br.,Hovea linearis,yes
Fabaceae,Indigofera australis Willd.,Indigofera australis,yes
Fabaceae,Jacksonia scoparia R.Br.,Jacksonia scoparia,yes
Fabaceae,Kennedia rubicunda (Schneev.) Vent.,Kennedia rubicunda,yes
Fabaceae,Pultenaea villosa Willd.,Pultenaea villosa,yes
Fabaceae,Zornia dyctiocarpa DC.,Zornia dyctiocarpa,yes
Geraniaceae,Geranium solanderi Carolin,Geranium solanderi,yes
Geraniaceae,Pelargonium inodorum Willd.,Pelargonium inodorum,yes
Goodeniaceae,Goodenia hederacea Sm.,Goodenia hederacea,yes
Goodeniaceae,Goodenia paniculata Sm.,Goodenia paniculata,yes
Goodeniaceae,Scaevola albida (Sm.) Druce,Scaevola albida,yes
Hemerocallidaceae,Caesia parviflora R.Br. ,Caesia parviflora,yes
Hemerocallidaceae,Dianella caerulea Sims,Dianella caerulea,yes
Hemerocallidaceae,Dianella longifolia R.Br. ,Dianella longifolia,yes
Hemerocallidaceae,Dianella revoluta R.Br.,Dianella revoluta,yes
Hypericaceae,Hypericum gramineum G.Forst.,Hypericum gramineum,yes
Hypoxidaceae,Hypoxis hygrometrica Labill.,Hypoxis hygrometrica,yes
Juncaceae,Juncus bufonius L.,Juncus bufonius,yes
Juncaceae,Juncus planifolius R.Br.,Juncus planifolius,yes
Juncaceae,Juncus subsecundus N.A.Wakef.,Juncus subsecundus,yes
Juncaceae,Juncus usitatus L.A.S.Johnson,Juncus usitatus,yes
Juncaginaceae,Triglochin striata Ruiz & Pav.,Triglochin striata,yes
Lamiaceae,Mentha diemenica Spreng.,Mentha diemenica,yes
Lamiaceae,Plectranthus parviflorus Willd.,Plectranthus parviflorus,yes
Lauraceae,Cassytha paniculata R.Br.,Cassytha paniculata,yes
Linaceae,Linum marginale A.Cunn.,Linum marginale,yes
Loranthaceae,Amyema gaudichaudii (DC.) Tiegh.,Amyema gaudichaudii,yes
Loranthaceae,Amyema miquelii (Lehm. ex Miq.) Tiegh.,Amyema miquelii,yes
Loranthaceae,Dendrophthoe vitellina (F.Muell.) Tiegh.,Dendrophthoe vitellina,yes
Loranthaceae,Muellerina eucalyptoides (DC.) Barlow,Muellerina eucalyptoides,yes
Lythraceae,Lythrum hyssopifolia L.,Lythrum hyssopifolia,yes
Malvaceae,Brachychiton populneus (Schott & Endl.) R.Br.,Brachychiton populneus,yes
Malvaceae,Lasiopetalum parviflorum Rudge,Lasiopetalum parviflorum,yes
Menispermaceae,Sarcopetalum harveyanum F.Muell.,Sarcopetalum harveyanum,yes
Myrtaceae,Angophora floribunda (Sm.) Sweet,Angophora floribunda,yes
Myrtaceae,Callistemon linearifolius (Link) DC.,Callistemon linearifolius,yes
Myrtaceae,Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,Callistemon linearis,yes
Myrtaceae,Callistemon pinifolius (J.C.Wendl.) Sweet,Callistemon pinifolius,yes
Myrtaceae,Callistemon salignus (Sm.) Colvill ex Sweet,Callistemon salignus,yes
Myrtaceae,Eucalyptus amplifolia Naudin ,Eucalyptus amplifolia,yes
Myrtaceae,Eucalyptus eugenioides Sieber ex Spreng.,Eucalyptus eugenioides,yes
Myrtaceae,Eucalyptus fibrosa F.Muell. ,Eucalyptus fibrosa,yes
Myrtaceae,Eucalyptus globoidea Blakely,Eucalyptus globoidea,yes
Myrtaceae,Eucalyptus longifolia Link,Eucalyptus longifolia,yes
Myrtaceae,Eucalyptus moluccana Roxb.,Eucalyptus moluccana,yes
Myrtaceae,Eucalyptus punctata DC.,Eucalyptus punctata,yes
Myrtaceae,Eucalyptus resinifera J.White,Eucalyptus resinifera,yes
Myrtaceae,Eucalyptus tereticornis Sm.,Eucalyptus tereticornis,yes
Myrtaceae,Kunzea ambigua (Sm.) Druce,Kunzea ambigua,yes
Myrtaceae,Leptospermum polygalifolium Salisb. ,Leptospermum polygalifolium,yes
Myrtaceae,Leptospermum trinervium (J.White) Sm.,Leptospermum trinervium,yes
Myrtaceae,Melaleuca decora (Salisb.) Britten,Melaleuca decora,yes
Myrtaceae,Melaleuca diosmatifolia Dum.Cours.,Melaleuca diosmatifolia,yes
Myrtaceae,Melaleuca linariifolia Sm.,Melaleuca linariifolia,yes
Myrtaceae,Melaleuca nodosa (Sol. ex Gaertn.) Sm.,Melaleuca nodosa,yes
Myrtaceae,Melaleuca styphelioides Sm.,Melaleuca styphelioides,yes
Myrtaceae,Melaleuca thymifolia Sm.,Melaleuca thymifolia,yes
Oleaceae,Notelaea longifolia Vent. ,Notelaea longifolia,yes
Oleaceae,Notelaea ovata R.Br.,Notelaea ovata,yes
Onagraceae,Epilobium billardiereanum Ser.,Epilobium billardiereanum,yes
