taxon_name,max_max_height
Cassytha glabella,1
Cyperus mirus,0.55
Juncus continuus,1.15
Juncus mollis,1.45
Juncus remotiflorus,0.7
Lomandra fluviatilis,0.75
Microtis sp.,0.6
Senecio bathurstianus,1
Sphaeromorphaea australis,0.3
