taxon_name,source,name,establishment_means
Blechnum rupestre,Mesaglio2022,original,native
Bolboschoenus caldwellii,GibsonBell1992,original,native
Boronia polygalifolia,Price1988,original,native
Boronia polygalifolia,Mesaglio2022,original,native
Boronia polygalifolia,Price1979,original,native
Bossiaea buxifolia,Price1988,original,native
Bossiaea buxifolia,Mesaglio2022,original,native
Bossiaea buxifolia,Price1979,original,native
Bossiaea prostrata,Price1988,original,native
Bossiaea prostrata,Mesaglio2022,original,native
Bossiaea prostrata,Price1979,original,native
Bothriochloa decipiens,Price1988,original,native
Bothriochloa macra,Price1988,original,native
Bothriochloa macra,Mesaglio2022,original,native
Bothriochloa macra,Price1979,original,native
Bougainvillea sp.,RawlingsNeff1990,original,non-native
Bougainvillea sp.,Price1979,original,non-native
Brachychiton acerifolius,Mesaglio2022,original,non-native
Brachychiton populneus,Price1988,original,native
Brachychiton populneus,Mesaglio2022,original,native
Brachychiton populneus,Price1979,original,native
Brachyscome graminea,Price1988,amended,native
Brachyscome graminea,Price1979,original,native
Brachyscome triloba,Mesaglio2022,original,native
Brachyscome triloba,Price1979,original,native
Brassica × juncea,Price1979,original,non-native
Brassica fruticulosa,Mesaglio2022,original,non-native
Brassica fruticulosa,Price1979,original,non-native
Brassica oleracea,Mesaglio2022,original,non-native
Brassica rapa,RawlingsNeff1990,amended,non-native
Brassica rapa,Mesaglio2022,original,non-native
Brassica rapa,Price1979,original,non-native
Breynia oblongifolia,Price1988,original,native
Breynia oblongifolia,Mesaglio2022,original,native
Breynia oblongifolia,Price1979,original,native
Briza maxima,RawlingsNeff1990,original,non-native
Briza maxima,Mesaglio2022,original,non-native
Briza maxima,Price1979,original,non-native
Briza minor,RawlingsNeff1990,original,non-native
Briza minor,Mesaglio2022,original,non-native
Briza minor,Price1979,original,non-native
Bromus catharticus,RawlingsNeff1990,original,non-native
Bromus catharticus,Mesaglio2022,original,non-native
Bromus catharticus,Price1979,original,non-native
Bromus diandrus,Price1979,original,non-native
Bromus hordeaceus,Price1979,original,non-native
Bromus rubens,Price1979,original,non-native
Brunoniella australis,Price1988,original,native
Brunoniella australis,Mesaglio2022,original,native
Brunoniella australis,Price1979,original,native
Brunoniella pumilio,Price1988,original,native
Brunoniella pumilio,Mesaglio2022,original,native
Brunoniella pumilio,Price1979,original,native
Bryophyllum delagoense,Mesaglio2022,original,non-native
Bryophyllum delagoense,Price1979,original,non-native
Bryophyllum pinnatum,Mesaglio2022,original,non-native
Bursaria spinosa,Price1988,original,native
Bursaria spinosa,Mesaglio2022,original,native
Bursaria spinosa,Price1979,original,native
Caesia parviflora,Mesaglio2022,original,native
Caesia parviflora,Price1979,original,native
Caesia parviflora ,Price1988,original,native
Callistemon linearifolius,Price1988,original,native
Callistemon linearifolius,Mesaglio2022,original,native
Callistemon linearis,Price1988,original,native
Callistemon linearis,Mesaglio2022,original,native
Callistemon linearis,Price1979,original,native
Callistemon pinifolius,Price1988,original,native
Callistemon pinifolius,Mesaglio2022,original,native
Callistemon pinifolius,Price1979,original,native
Callistemon salignus,Price1988,original,native
Callistemon salignus,Mesaglio2022,original,native
Callistemon salignus,Price1979,original,native
Callistemon viminalis,Mesaglio2022,original,non-native
Callitriche stagnalis,Mesaglio2022,original,non-native
Calotis cuneifolia,Price1988,original,native
Calotis cuneifolia,Mesaglio2022,original,native
Calotis cuneifolia,Price1979,original,native
Calotis lappulacea,Price1988,original,native
Calotis lappulacea,Mesaglio2022,original,native
Calotis lappulacea,Price1979,original,native
Campsis × tagliabuana,Price1979,original,non-native
Campsis grandiflora,RawlingsNeff1990,original,non-native
Canna indica,RawlingsNeff1990,original,non-native
Canna indica,Mesaglio2022,original,non-native
Canna indica,Price1979,original,non-native
Canna sp.,Price1979,original,non-native
Capillipedium spicigerum,Mesaglio2022,original,native
Capsella bursa-pastoris,Mesaglio2022,original,non-native
Capsella bursa-pastoris,Price1979,original,non-native
Cardamine hirsuta,Mesaglio2022,original,non-native
Cardamine lilacina,Price1979,original,native
Cardamine paucijuga,Mesaglio2022,original,native
Cardiospermum grandiflorum,RawlingsNeff1990,original,non-native
Cardiospermum grandiflorum,Mesaglio2022,original,non-native
Cardiospermum grandiflorum,Price1979,original,non-native
Carex breviculmis,Mesaglio2022,original,native
Carex inversa,Price1988,original,native
Carex inversa,Mesaglio2022,original,native
Carex inversa,Price1979,original,native
Cassinia sifton,Price1988,amended,native
Cassinia sifton,Mesaglio2022,original,native
Cassinia sifton,Price1979,amended,native
Cassytha glabella,Price1988,original,native
Cassytha paniculata,Price1988,amended,native
Cassytha paniculata,Mesaglio2022,original,native
Cassytha paniculata,Price1979,original,native
Casuarina cunninghamiana,Mesaglio2022,original,native
Casuarina glauca,Price1988,original,native
Casuarina glauca,Mesaglio2022,original,native
Casuarina glauca,Price1979,original,native
Cayratia clematidea,Mesaglio2022,original,native
Cenchrus clandestinus,Mesaglio2022,original,non-native
Cenchrus clandestinus ,RawlingsNeff1990,original,non-native
Cenchrus clandestinus ,Price1979,original,non-native
Centaurium erythraea,Mesaglio2022,original,non-native
Centaurium erythraea,Price1979,original,non-native
Centaurium tenuiflorum,Mesaglio2022,original,non-native
Centaurium tenuiflorum,Price1979,original,non-native
Centella asiatica,Price1988,original,native
Centella asiatica,Mesaglio2022,original,native
Centipeda minima,Price1988,original,native
Centipeda minima,Mesaglio2022,original,native
Centipeda minima,Price1979,original,native
Centranthus ruber,Price1979,original,non-native
Cerastium glomeratum,RawlingsNeff1990,amended,non-native
Cerastium glomeratum,Mesaglio2022,original,non-native
Cerastium glomeratum,Price1979,original,non-native
Cestrum aurantiacum,Mesaglio2022,original,non-native
Cestrum aurantiacum,Price1979,original,non-native
Cestrum parqui,RawlingsNeff1990,original,non-native
Cestrum parqui,Mesaglio2022,original,non-native
Cestrum parqui,Price1979,amended,non-native
Chascolytrum subaristatum,Mesaglio2022,original,non-native
Chascolytrum subaristatum,Price1979,original,non-native
Cheilanthes distans,Mesaglio2022,original,native
Cheilanthes sieberi,Price1988,original,native
Cheilanthes sieberi,Mesaglio2022,original,native
Cheilanthes sieberi,Price1979,amended,native
Chenopodium album,RawlingsNeff1990,original,non-native
Chenopodium album,Mesaglio2022,original,non-native
Chenopodium album,Price1979,original,non-native
Chloris gayana,RawlingsNeff1990,original,non-native
Chloris gayana,Mesaglio2022,original,non-native
Chloris gayana,Price1979,original,non-native
Chloris truncata,Price1988,original,native
Chloris truncata,Mesaglio2022,original,native
Chloris truncata,Price1979,original,native
Chloris ventricosa,Price1988,original,native
Chloris ventricosa,Mesaglio2022,original,native
Chloris virgata,Mesaglio2022,original,non-native
Chloris virgata,Price1979,original,non-native
Chlorophytum comosum,RawlingsNeff1990,original,non-native
Chlorophytum comosum,Mesaglio2022,original,non-native
Chorizema parviflorum,Price1988,original,native
Chorizema parviflorum,Mesaglio2022,original,native
Chorizema parviflorum,Price1979,original,native
Christella dentata,Mesaglio2022,original,native
Chrysanthemoides monilifera,RawlingsNeff1990,original,non-native
Chrysanthemoides monilifera,Price1979,original,non-native
Chrysocephalum apiculatum,Price1988,original,native
Chrysocephalum apiculatum,Mesaglio2022,original,native
Chrysocephalum apiculatum,Price1979,original,native
Cichorium intybus,Price1979,original,non-native
Cinnamomum camphora,RawlingsNeff1990,original,non-native
Cinnamomum camphora,Mesaglio2022,original,non-native
Cinnamomum camphora,Price1979,original,non-native
Cirsium vulgare,RawlingsNeff1990,original,non-native
Cirsium vulgare,Mesaglio2022,original,non-native
Cirsium vulgare,Price1979,original,non-native
Cissus antarctica,Mesaglio2022,original,native
Clematis aristata,Price1988,original,native
Clematis aristata,Mesaglio2022,original,native
Clematis aristata,Price1979,original,native
Clematis glycinoides,Price1988,original,native
Clematis glycinoides,Mesaglio2022,original,native
Clematis glycinoides,Price1979,original,native
Clivia sp.,Mesaglio2022,original,non-native
Colocasia esculenta,Mesaglio2022,original,non-native
Commelina cyanea,Price1988,original,native
Commelina cyanea,Mesaglio2022,original,native
Commersonia dasyphylla,Price1988,original,native
Commersonia dasyphylla,Price1979,original,native
Convolvulus erubescens,Mesaglio2022,original,native
Convolvulus farinosus,Mesaglio2022,original,non-native
Coronidium scorpioides,Price1988,original,native
Coronidium scorpioides,Price1979,original,native
Correa reflexa,Price1988,original,native
Correa reflexa,Mesaglio2022,original,native
Correa reflexa,Price1979,original,native
Cortaderia selloana,RawlingsNeff1990,original,non-native
Cortaderia selloana,Price1979,original,non-native
Corymbia citriodora,RawlingsNeff1990,original,non-native
Corymbia citriodora,Mesaglio2022,original,non-native
Corymbia citriodora,Price1979,original,non-native
Cotoneaster glaucophyllus,RawlingsNeff1990,original,non-native
Cotoneaster glaucophyllus,Mesaglio2022,original,non-native
Cotoneaster glaucophyllus,Price1979,amended,non-native
Cotula australis,Price1988,original,native
Cotula australis,Mesaglio2022,original,native
Cotula australis,Price1979,original,native
Cotula coronopifolia,Price1979,original,non-native
Crassocephalum crepidioides,Mesaglio2022,original,non-native
Crassula multicava,RawlingsNeff1990,original,non-native
Crassula multicava,Mesaglio2022,original,non-native
Crassula multicava,Price1979,original,non-native
Crassula peduncularis,Mesaglio2022,original,native
Crassula sieberiana,Price1988,original,native
Crassula sieberiana,Mesaglio2022,original,native
Crinum pedunculatum,RawlingsNeff1990,original,non-native
Crinum pedunculatum,Price1979,original,non-native
Crocosmia × crocosmiiflora,Mesaglio2022,original,non-native
Cupaniopsis anacardioides,Mesaglio2022,original,non-native
Cyanthillium cinereum,Price1988,original,native
Cyanthillium cinereum,Mesaglio2022,original,native
Cyanthillium cinereum,Price1979,original,native
Cyclospermum leptophyllum,Mesaglio2022,original,non-native
Cyclospermum leptophyllum,Price1979,original,non-native
Cymbopogon refractus,Price1988,original,native
Cymbopogon refractus,Mesaglio2022,original,native
Cymbopogon refractus,Price1979,original,native
Cynodon dactylon,RawlingsNeff1990,original,non-native
Cynodon dactylon,Mesaglio2022,original,non-native
Cynodon dactylon,Price1979,original,non-native
Cyperus brevifolius,Price1979,original,non-native
Cyperus eragrostis,RawlingsNeff1990,original,non-native
Cyperus eragrostis,Mesaglio2022,original,non-native
Cyperus eragrostis,Price1979,original,non-native
Cyperus gracilis,Mesaglio2022,original,native
Cyperus involucratus,Mesaglio2022,original,non-native
Cyperus mirus,Price1988,original,native
Cyperus mirus,Price1979,original,native
Cyperus polystachyos,Price1988,original,native
Cyperus sp.,RawlingsNeff1990,original,non-native
Dactylis glomerata,RawlingsNeff1990,original,non-native
Dactylis glomerata,Mesaglio2022,original,non-native
Dactylis glomerata,Price1979,original,non-native
Daviesia ulicifolia,Price1988,original,native
Daviesia ulicifolia,Mesaglio2022,original,native
Daviesia ulicifolia,Price1979,original,native
Delairea odorata,Mesaglio2022,original,non-native
Dendrophthoe vitellina,Price1988,original,native
Dendrophthoe vitellina,Mesaglio2022,original,native
Dendrophthoe vitellina,Price1979,original,native
Denhamia silvestris,Price1988,original,native
Denhamia silvestris,Mesaglio2022,original,native
Denhamia silvestris,Price1979,amended,native
Desmodium rhytidophyllum,Price1988,original,native
Desmodium rhytidophyllum,Mesaglio2022,original,native
Desmodium varians,Price1988,original,native
Desmodium varians,Mesaglio2022,original,native
Desmodium varians,Price1979,original,native
Deyeuxia quadriseta,Price1988,original,native
Deyeuxia quadriseta,Price1979,original,native
Dianella brevipedunculata,Mesaglio2022,original,non-native
Dianella caerulea,Price1988,original,native
Dianella caerulea,Mesaglio2022,original,native
Dianella caerulea,Price1979,original,native
Dianella longifolia,Mesaglio2022,original,native
Dianella longifolia ,Price1988,original,native
Dianella revoluta,Price1988,original,native
Dianella revoluta,Mesaglio2022,original,native
Dianella revoluta,Price1979,original,native
Dichelachne crinita,Mesaglio2022,original,native
Dichelachne inaequiglumis,Mesaglio2022,original,native
Dichelachne micrantha,Price1988,original,native
Dichelachne micrantha,Mesaglio2022,original,native
Dichelachne micrantha,Price1979,original,native
Dichelachne rara,Price1988,original,native
Dichelachne rara,Price1979,original,native
Dichondra repens,Price1988,original,native
Dichondra repens,Mesaglio2022,original,native
Dichondra repens,Price1979,original,native
Dietes grandiflora,Mesaglio2022,original,non-native
Digitaria ciliaris,Price1979,original,non-native
Digitaria didactyla,Mesaglio2022,original,non-native
Digitaria parviflora,Price1988,original,native
Digitaria parviflora,Price1979,original,native
Digitaria ramularis,Price1988,original,native
Digitaria sanguinalis,Mesaglio2022,original,non-native
Digitaria sanguinalis,Price1979,original,non-native
Dillwynia sieberi,Price1988,amended,native
Dillwynia sieberi,Mesaglio2022,original,native
Dillwynia sieberi,Price1979,amended,native
Dimorphotheca ecklonis,Mesaglio2022,original,non-native
Dipodium punctatum,Mesaglio2022,original,native
Dipogon lignosus,RawlingsNeff1990,original,non-native
Dipogon lignosus,Price1979,original,non-native
Diuris maculata,Price1988,original,native
Diuris maculata,Mesaglio2022,original,native
Diuris maculata,Price1979,original,native
Diuris sulphurea,Price1988,original,native
Diuris sulphurea,Price1979,original,native
Dodonaea triquetra,Price1988,original,native
Dodonaea triquetra,Mesaglio2022,original,native
Dodonaea triquetra,Price1979,original,native
Dolichandra unguis-cati,Mesaglio2022,original,non-native
Dracaena draco,Mesaglio2022,original,non-native
Drosera lunata,Mesaglio2022,original,native
Drosera peltata,Price1988,original,native
Drosera peltata,Price1979,original,native
Dysphania carinata,Mesaglio2022,original,native
Dysphania littoralis,Price1988,original,native
Dysphania littoralis,Price1979,original,native
Dysphania pumilio,Mesaglio2022,original,native
Echinochloa crus-galli,Mesaglio2022,original,non-native
Echinochloa crus-galli,Price1979,original,non-native
Echinochloa crus-galli,RawlingsNeff1990,original,non-native
Echinochloa telmatophila,Price1988,original,native
Echinopogon caespitosus,Price1988,original,native
Echinopogon caespitosus,Mesaglio2022,original,native
Echinopogon caespitosus,Price1979,original,native
Echinopogon ovatus,Price1988,original,native
Echinopogon ovatus,Mesaglio2022,original,native
Echinopogon ovatus,Price1979,original,native
Ehrharta erecta,Mesaglio2022,original,non-native
Ehrharta longiflora,Mesaglio2022,original,non-native
Ehrharta longiflora,Price1979,original,non-native
Einadia hastata,Price1988,original,native
Einadia hastata,Mesaglio2022,original,native
Einadia hastata,Price1979,original,native
Einadia nutans,Price1979,original,native
Einadia nutans ,Price1988,original,native
Einadia polygonoides,Price1988,original,native
Einadia polygonoides,Mesaglio2022,original,native
Einadia polygonoides,Price1979,original,native
Einadia trigonos,Price1988,original,native
Einadia trigonos,Mesaglio2022,original,native
Einadia trigonos,Price1979,original,native
Elatine gratioloides,Mesaglio2022,original,native
Eleocharis acuta,GibsonBell1992,original,native
Eleusine indica,RawlingsNeff1990,original,non-native
