taxon_name,dispersal
Desmodium varians,zoochory
Desmodium varians,epizoochory myrmecochory
Desmodium varians,barochory
Desmodium varians,epizoochory
Desmodium varians,epizoochory
Dianella caerulea,endozoochory
Dianella caerulea,endozoochory
Dianella caerulea,zoochory
Dianella caerulea,endozoochory
Dianella longifolia,zoochory
Dianella longifolia,epizoochory
Dianella longifolia,endozoochory
Dianella longifolia,endozoochory
Dianella longifolia,endozoochory
Dianella revoluta,endozoochory
Dianella revoluta,zoochory
Dianella revoluta,endozoochory
Dianella revoluta,endozoochory
Dianella revoluta,epizoochory
Dianella revoluta,endozoochory
Dianella revoluta,endozoochory
Dianella revoluta,endozoochory
Dichelachne micrantha,zoochory
Dichelachne micrantha,zoochory
Dichelachne micrantha,epizoochory
Dichelachne micrantha,epizoochory
Dichelachne micrantha,epizoochory myrmecochory
Dichelachne micrantha,anemochory
Dichelachne micrantha,epizoochory
Dichelachne micrantha,epizoochory
Dichondra repens,undefined
Dichondra repens,barochory
Dichondra repens,barochory
Dichondra repens,undefined
Dichondra repens,barochory
Dichondra repens,zoochory
Dichondra repens,barochory
Digitaria parviflora,anemochory
Digitaria parviflora,anemochory
Dillwynia sieberi,myrmecochory
Dillwynia sieberi,myrmecochory
Dillwynia sieberi,myrmecochory
Dillwynia sieberi,zoochory
Diuris maculata,anemochory
Dodonaea triquetra,myrmecochory
Dodonaea triquetra,myrmecochory
Dodonaea triquetra,anemochory
Drosera peltata,anemochory
Drosera peltata,anemochory
Drosera peltata,barochory
Drosera peltata,barochory
Drosera peltata,barochory
Drosera peltata,zoochory
Drosera peltata,zoochory
Drosera peltata,barochory
Drosera peltata,anemochory
Drosera peltata,anemochory
Echinopogon caespitosus,zoochory
Echinopogon caespitosus,barochory
Echinopogon caespitosus,epizoochory
Echinopogon ovatus,zoochory
Echinopogon ovatus,epizoochory
Echinopogon ovatus,epizoochory
Echinopogon ovatus,epizoochory myrmecochory
Echinopogon ovatus,anemochory
Echinopogon ovatus,epizoochory
Echinopogon ovatus,epizoochory
Echinopogon ovatus,epizoochory
Einadia hastata,endozoochory
Einadia hastata,endozoochory
Einadia hastata,endozoochory
Einadia polygonoides,zoochory
Einadia trigonos,zoochory
Entolasia marginata,anemochory
Entolasia marginata,epizoochory
Entolasia stricta,barochory
Entolasia stricta,anemochory
Entolasia stricta,epizoochory
Entolasia stricta,epizoochory
Epilobium billardiereanum,anemochory
Epilobium billardiereanum,anemochory
Epilobium billardiereanum,anemochory
Epilobium billardiereanum,anemochory
Epilobium billardiereanum,anemochory
Eragrostis brownii,barochory
Eragrostis brownii,undefined
Eragrostis brownii,barochory
Eragrostis brownii,anemochory
Eragrostis brownii,epizoochory
Eragrostis brownii,anemochory
Eragrostis brownii,barochory
Eragrostis leptostachya,barochory
Eragrostis leptostachya,epizoochory
Eremophila debilis,endozoochory
Eremophila debilis,endozoochory
Eriochloa pseudoacrotricha,anemochory
Eriochloa pseudoacrotricha,epizoochory
Eucalyptus amplifolia,barochory
Eucalyptus eugenioides,anemochory
Eucalyptus eugenioides,barochory
Eucalyptus fibrosa,anemochory
Eucalyptus fibrosa,barochory
Eucalyptus globoidea,barochory
Eucalyptus globoidea,anemochory
Eucalyptus globoidea,anemochory
Eucalyptus globoidea,barochory
Eucalyptus globoidea,barochory
Eucalyptus longifolia,anemochory
Eucalyptus longifolia,barochory
Eucalyptus moluccana,anemochory
Eucalyptus moluccana,barochory
Eucalyptus punctata,anemochory
Eucalyptus tereticornis,anemochory
Euchiton involucratus,anemochory
Euchiton involucratus,anemochory
Euchiton involucratus,anemochory
Euchiton involucratus,anemochory
Euchiton involucratus,anemochory
Euchiton involucratus,anemochory
Euchiton involucratus,anemochory
Euchiton involucratus,anemochory
Euchiton sphaericus,anemochory
Euchiton sphaericus,anemochory
Euchiton sphaericus,anemochory
Euchiton sphaericus,anemochory
Euchiton sphaericus,anemochory
Euchiton sphaericus,anemochory
Euchiton sphaericus,anemochory
Eustrephus latifolius,endozoochory
