taxon_name,resprouting_capacity
Triptilodiscus pygmaeus,fire_killed
Triptilodiscus pygmaeus,fire_killed
Triptilodiscus pygmaeus,fire_killed
Triptilodiscus pygmaeus,fire_killed
Typha orientalis,resprouts
Typha orientalis,resprouts
Typha orientalis,resprouts
Veronica plebeia,resprouts
Veronica plebeia,resprouts
Veronica plebeia,resprouts
Vincetoxicum barbatum,resprouts
Vincetoxicum barbatum,resprouts
Vincetoxicum barbatum,resprouts
Vittadinia cuneata,fire_killed
Vittadinia cuneata,resprouts
Vittadinia cuneata,fire_killed
Vittadinia cuneata,fire_killed
Vittadinia cuneata,fire_killed
Wahlenbergia gracilis,fire_killed
Wahlenbergia gracilis,fire_killed resprouts
Wahlenbergia gracilis,resprouts
Xanthorrhoea minor,resprouts
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zieria smithii,resprouts
Zieria smithii,fire_killed
Zieria smithii,partial_resprouting
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zieria smithii,fire_killed
Zornia dyctiocarpa,resprouts
