taxon_name,APC_name,family,genus,max_max_height,dispersal,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association
Wahlenbergia gracilis,Wahlenbergia gracilis (G.Forst.) A.DC.,Campanulaceae,Wahlenbergia,0.8,anemochory,herb,perennial,c3,resprouting_possible,no
Zieria smithii,Zieria smithii Andrews,Rutaceae,Zieria,2,myrmecochory,shrub,perennial,c3,resprouting_possible,no
Zornia dyctiocarpa,Zornia dyctiocarpa DC.,Fabaceae,Zornia,0.3,epizoochory,herb,perennial,c3,resprouting_possible,no
Amyema gaudichaudii,Amyema gaudichaudii (DC.) Tiegh.,Loranthaceae,Amyema,NA,endozoochory,shrub,perennial,c3,fire_killed,no
Arthropodium sp. South-east Highlands (N.G.Walsh 811),Arthropodium sp. South-east Highlands (N.G.Walsh 811) Vic. Herbarium,Asparagaceae,Arthropodium,1.16,barochory,herb,perennial,c3,resprouting_possible,no
Brachyscome triloba,Brachyscome triloba Gaudich.,Asteraceae,Brachyscome,0.12,zoochory,herb,perennial,c3,resprouting_possible,no
Cassinia sifton,Cassinia sifton Orchard,Asteraceae,Cassinia,2.66,anemochory,shrub,perennial,c3,fire_killed,no
Cassytha paniculata,Cassytha paniculata R.Br.,Lauraceae,Cassytha,0.4,endozoochory,climber,perennial,c3,fire_killed,no
Dendrophthoe vitellina,Dendrophthoe vitellina (F.Muell.) Tiegh.,Loranthaceae,Dendrophthoe,NA,endozoochory,shrub,perennial,c3,fire_killed,no
Einadia polygonoides,Einadia polygonoides (Murr) Paul G.Wilson,Chenopodiaceae,Einadia,0.14,zoochory,herb,perennial,c3,fire_killed,no
Einadia trigonos,Einadia trigonos (Schult.) Paul G.Wilson,Chenopodiaceae,Einadia,0.81,zoochory,herb,perennial,c3,fire_killed,no
Kennedia rubicunda,Kennedia rubicunda (Schneev.) Vent.,Fabaceae,Kennedia,1.71,myrmecochory,climber,perennial,c3,resprouting_possible,no
Lagenophora sublyrata,Lagenophora sublyrata (Cass.) A.R.Bean & Jian Wang ter,Asteraceae,Lagenophora,0.07,mixed,herb,perennial,c3,resprouting_possible,no
Lobelia purpurascens,Lobelia purpurascens R.Br.,Campanulaceae,Lobelia,0.28,zoochory,herb,perennial,c3,resprouting_possible,no
Macrozamia spiralis,Macrozamia spiralis (Salisb.) Miq.,Zamiaceae,Macrozamia,1.04,barochory,shrub,perennial,c3,resprouting_possible,no
Opercularia diphylla,Opercularia diphylla Gaertn.,Rubiaceae,Opercularia,0.29,myrmecochory,herb,perennial,c3,resprouting_possible,no
Oxalis thompsoniae,Oxalis thompsoniae B.J.Conn & P.G.Richards,Oxalidaceae,Oxalis,0.25,barochory,herb,perennial,c3,fire_killed,no
Polymeria calycina,Polymeria calycina R.Br.,Convolvulaceae,Polymeria,0.8,mixed,climber,perennial,c3,resprouting_possible,no
Pultenaea villosa,Pultenaea villosa Willd.,Fabaceae,Pultenaea,2.13,myrmecochory,shrub,perennial,c3,fire_killed,no
Sarcopetalum harveyanum,Sarcopetalum harveyanum F.Muell.,Menispermaceae,Sarcopetalum,6,endozoochory,climber_woody,perennial,c3,resprouting_possible,no
Xanthorrhoea minor,Xanthorrhoea minor R.Br.,Xanthorrhoeaceae,Xanthorrhoea,1.48,barochory,shrub,perennial,c3,resprouting_possible,no
