taxon_name,APC_name,genus,family,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status
Leptospermum trinervium,Leptospermum trinervium (J.White) Sm.,Leptospermum,Myrtaceae,6,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Leucopogon affinis,Leucopogon affinis R.Br.,Leucopogon,Ericaceae,3,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister
Leucopogon juniperinus,Leucopogon juniperinus R.Br.,Leucopogon,Ericaceae,1,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister
Linum marginale,Linum marginale A.Cunn.,Linum,Linaceae,1.2,mixed,herb,perennial,c3,resprouting_possible,no,persister
Lissanthe strigosa,Lissanthe strigosa (Sm.) R.Br.,Lissanthe,Ericaceae,1,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister
Lobelia anceps,Lobelia anceps L.f.,Lobelia,Campanulaceae,1.2,mixed,herb,perennial,c3,resprouting_possible,yes,persister
Lobelia purpurascens,Lobelia purpurascens R.Br.,Lobelia,Campanulaceae,0.28,zoochory,herb,perennial,c3,resprouting_possible,no,persister
Lomandra filiformis,Lomandra filiformis (Thunb.) Britten,Lomandra,Asparagaceae,0.54,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,persister
Lomandra fluviatilis,Lomandra fluviatilis (R.Br.) A.T.Lee,Lomandra,Asparagaceae,0.75,mixed,herb,perennial,c3,resprouting_possible,yes,extinct
Lomandra longifolia,Lomandra longifolia Labill.,Lomandra,Asparagaceae,1,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,persister
Lomandra multiflora,Lomandra multiflora (R.Br.) Britten,Lomandra,Asparagaceae,0.3,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,persister
Lythrum hyssopifolia,Lythrum hyssopifolia L.,Lythrum,Lythraceae,0.6,mixed,herb,short_lived_perennial,c3,fire_killed,yes,persister
Macrozamia spiralis,Macrozamia spiralis (Salisb.) Miq.,Macrozamia,Zamiaceae,1.04,barochory,shrub,perennial,c3,resprouting_possible,no,persister
Maireana microphylla,Maireana microphylla (Moq.) Paul G.Wilson,Maireana,Chenopodiaceae,1,anemochory,shrub,perennial,c4,fire_killed,no,extinct
Melaleuca decora,Melaleuca decora (Salisb.) Britten,Melaleuca,Myrtaceae,7,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Melaleuca diosmatifolia,Melaleuca diosmatifolia Dum.Cours.,Melaleuca,Myrtaceae,4,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Melaleuca linariifolia,Melaleuca linariifolia Sm.,Melaleuca,Myrtaceae,10,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Melaleuca nodosa,Melaleuca nodosa (Sol. ex Gaertn.) Sm.,Melaleuca,Myrtaceae,4,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Melaleuca styphelioides,Melaleuca styphelioides Sm.,Melaleuca,Myrtaceae,20,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Mentha diemenica,Mentha diemenica Spreng.,Mentha,Lamiaceae,0.5,mixed,herb,perennial,c3,resprouting_possible,no,persister
Microlaena stipoides,Microlaena stipoides (Labill.) R.Br.,Microlaena,Poaceae,1,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Microtis sp.,not found,Microtis,Orchidaceae,0.6,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Mitrasacme polymorpha,Mitrasacme polymorpha R.Br.,Mitrasacme,Loganiaceae,0.3,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Muellerina eucalyptoides,Muellerina eucalyptoides (DC.) Barlow,Muellerina,Loranthaceae,NA,endozoochory,shrub,perennial,c3,fire_killed,no,persister
Myoporum boninense,Myoporum boninense Koidz.,Myoporum,Scrophulariaceae,2.8,endozoochory,shrub,perennial,c3,fire_killed,no,persister
Myrsine variabilis,Myrsine variabilis R.Br.,Myrsine,Primulaceae,15,endozoochory,tree,perennial,c3,resprouting_possible,no,persister
Notelaea longifolia,Notelaea longifolia Vent.,Notelaea,Oleaceae,9,endozoochory,tree,perennial,c3,resprouting_possible,no,persister
Notelaea ovata,Notelaea ovata R.Br.,Notelaea,Oleaceae,1,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister
Olearia microphylla,Olearia microphylla (Vent.) Maiden & Betche,Olearia,Asteraceae,2,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Olearia viscidula,Olearia viscidula (F.Muell.) Benth.,Olearia,Asteraceae,2.5,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Omphacomeria acerba,Omphacomeria acerba (R.Br.) A.DC.,Omphacomeria,Santalaceae,1.5,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct
Opercularia aspera,Opercularia aspera Gaertn.,Opercularia,Rubiaceae,1,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,extinct
Opercularia diphylla,Opercularia diphylla Gaertn.,Opercularia,Rubiaceae,0.29,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister
Opercularia varia,Opercularia varia Hook.f.,Opercularia,Rubiaceae,0.3,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,persister
Oplismenus hirtellus,Oplismenus hirtellus (L.) P.Beauv.,Oplismenus,Poaceae,3,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Oxalis perennans,Oxalis perennans Haw.,Oxalis,Oxalidaceae,0.5,mixed,herb,perennial,c3,resprouting_possible,no,persister
Oxalis thompsoniae,Oxalis thompsoniae B.J.Conn & P.G.Richards,Oxalis,Oxalidaceae,0.25,barochory,herb,perennial,c3,fire_killed,no,persister
Ozothamnus diosmifolius,Ozothamnus diosmifolius (Vent.) DC.,Ozothamnus,Asteraceae,5,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Pandorea pandorana,Pandorea pandorana (Andrews) Steenis,Pandorea,Bignoniaceae,43,anemochory,climber_woody,perennial,c3,resprouting_possible,no,persister
Panicum effusum,Panicum effusum R.Br.,Panicum,Poaceae,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,extinct
Panicum simile,Panicum simile Domin,Panicum,Poaceae,0.7,mixed,graminoid,perennial,c4,resprouting_possible,no,persister
Parsonsia straminea,Parsonsia straminea (R.Br.) F.Muell.,Parsonsia,Apocynaceae,10,anemochory,climber_woody,perennial,c3,resprouting_possible,no,extinct
Paspalidium aversum,Paspalidium aversum Vickery,Paspalidium,Poaceae,0.9,epizoochory,graminoid,perennial,c4,resprouting_possible,yes,extinct
Paspalidium criniforme,Paspalidium criniforme S.T.Blake,Paspalidium,Poaceae,0.6,mixed,graminoid,perennial,c4,resprouting_possible,no,persister
Paspalidium distans,Paspalidium distans (Trin.) Hughes,Paspalidium,Poaceae,1,mixed,graminoid,perennial,c4,resprouting_possible,no,persister
Paspalum vaginatum,Paspalum vaginatum Sw.,Paspalum,Poaceae,0.6,epizoochory,graminoid,perennial,c4,resprouting_possible,yes,extinct
Pelargonium inodorum,Pelargonium inodorum Willd.,Pelargonium,Geraniaceae,0.4,mixed,herb,short_lived_perennial,c3,fire_killed,no,persister
Pellaea falcata,Pellaea falcata (R.Br.) Fée,Pellaea,Pteridaceae,1,anemochory,fern,perennial,c3,resprouting_possible,no,persister
Persicaria decipiens,Persicaria decipiens (R.Br.) K.L.Wilson,Persicaria,Polygonaceae,1,epizoochory,herb,perennial,c3,resprouting_possible,yes,persister
Persicaria lapathifolia,Persicaria lapathifolia (L.) Delarbre,Persicaria,Polygonaceae,1.8,epizoochory,herb,biennial,c3,resprouting_possible,yes,persister
Persoonia linearis,Persoonia linearis Andrews,Persoonia,Proteaceae,5,endozoochory,tree,perennial,c3,resprouting_possible,no,persister
Phragmites australis,Phragmites australis (Cav.) Trin. ex Steud.,Phragmites,Poaceae,6,anemochory,graminoid,perennial,c3,resprouting_possible,yes,persister
Phyllanthus gunnii,Phyllanthus gunnii Hook.f.,Phyllanthus,Phyllanthaceae,5,mixed,shrub,perennial,c3,resprouting_possible,no,persister
Picris angustifolia,Picris angustifolia DC.,Picris,Asteraceae,1.4,anemochory,herb,perennial,c3,no_significant_fire_response,no,extinct
Pimelea linifolia,Pimelea linifolia Sm.,Pimelea,Thymelaeaceae,1.68,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Pittosporum multiflorum,"Pittosporum multiflorum (A.Cunn. ex Loudon) L.W.Cayzer, Crisp & I.Telford",Pittosporum,Pittosporaceae,4.2,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister
Pittosporum revolutum,Pittosporum revolutum W.T.Aiton,Pittosporum,Pittosporaceae,6,endozoochory,tree,perennial,c3,resprouting_possible,no,persister
Pittosporum undulatum,Pittosporum undulatum Vent.,Pittosporum,Pittosporaceae,27.5,endozoochory,tree,perennial,c3,resprouting_possible,no,persister
Plantago debilis,Plantago debilis R.Br.,Plantago,Plantaginaceae,0.4,barochory,herb,perennial,c3,resprouting_possible,no,persister
Plantago varia,Plantago varia R.Br.,Plantago,Plantaginaceae,0.2,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Plectranthus parviflorus,Plectranthus parviflorus Willd.,Plectranthus,Lamiaceae,1,endozoochory,shrub,perennial,cam,fire_killed,no,persister
Poa affinis,Poa affinis R.Br.,Poa,Poaceae,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Poa labillardierei,Poa labillardierei Steud.,Poa,Poaceae,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Poa sieberiana,Poa sieberiana Spreng.,Poa,Poaceae,1.07,mixed,graminoid,perennial,c3,resprouting_possible,no,persister
Polygala japonica,Polygala japonica Houtt.,Polygala,Polygalaceae,0.25,mixed,subshrub,perennial,c3,resprouting_possible,no,extinct
Polymeria calycina,Polymeria calycina R.Br.,Polymeria,Convolvulaceae,0.8,mixed,climber,perennial,c3,resprouting_possible,no,persister
Polyscias sambucifolia,Polyscias sambucifolia (Sieber ex DC.) Harms,Polyscias,Araliaceae,11,endozoochory,tree,perennial,c3,resprouting_possible,no,persister
Pomaderris ferruginea,Pomaderris ferruginea Sieber ex Fenzl,Pomaderris,Rhamnaceae,4,myrmecochory,shrub,perennial,c3,fire_killed,no,extinct
Pomaderris lanigera,Pomaderris lanigera (Andrews) Sims,Pomaderris,Rhamnaceae,5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,extinct
Poranthera microphylla,Poranthera microphylla Brongn.,Poranthera,Phyllanthaceae,0.45,myrmecochory,herb,short_lived_perennial,c3,resprouting_possible,no,persister
Portulaca oleracea,Portulaca oleracea L.,Portulaca,Portulacaceae,0.2,barochory,herb,perennial,c4,resprouting_possible,no,persister
Pseudognaphalium luteoalbum,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Pseudognaphalium,Asteraceae,0.7,anemochory,herb,perennial,c3,fire_killed,no,persister
Pteridium esculentum,Pteridium esculentum (G.Forst.) Cockayne,Pteridium,Dennstaedtiaceae,3,anemochory,fern,perennial,c3,resprouting_possible,no,persister
Pterostylis nutans,Pterostylis nutans R.Br.,Pterostylis,Orchidaceae,0.4,anemochory,herb,perennial,c3,resprouting_possible,no,persister
Pultenaea retusa,Pultenaea retusa Sm.,Pultenaea,Fabaceae,1,myrmecochory,shrub,perennial,c3,fire_killed,no,extinct
Pultenaea villosa,Pultenaea villosa Willd.,Pultenaea,Fabaceae,2.13,myrmecochory,shrub,perennial,c3,fire_killed,no,persister
Ranunculus lappaceus,Ranunculus lappaceus Sm.,Ranunculus,Ranunculaceae,1.7,mixed,herb,perennial,c3,resprouting_possible,no,extinct
Rubus parvifolius,Rubus parvifolius L.,Rubus,Rosaceae,1,endozoochory,climber_woody,perennial,c3,resprouting_possible,no,persister
Rumex brownii,Rumex brownii Campd.,Rumex,Polygonaceae,1.05,epizoochory,herb,perennial,c3,resprouting_possible,no,persister
Rytidosperma bipartitum,Rytidosperma bipartitum (Link) A.M.Humphreys & H.P.Linder,Rytidosperma,Poaceae,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Rytidosperma fulvum,Rytidosperma fulvum (Vickery) A.M.Humphreys & H.P.Linder,Rytidosperma,Poaceae,1.15,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Rytidosperma longifolium,Rytidosperma longifolium (R.Br.) Connor & Edgar,Rytidosperma,Poaceae,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Rytidosperma racemosum,Rytidosperma racemosum (R.Br.) Connor & Edgar,Rytidosperma,Poaceae,0.6,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Rytidosperma setaceum,Rytidosperma setaceum (R.Br.) Connor & Edgar,Rytidosperma,Poaceae,1,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Rytidosperma tenuius,Rytidosperma tenuius (Steud.) A.Hansen & Sunding,Rytidosperma,Poaceae,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Sarcopetalum harveyanum,Sarcopetalum harveyanum F.Muell.,Sarcopetalum,Menispermaceae,6,endozoochory,climber_woody,perennial,c3,resprouting_possible,no,persister
Scaevola albida,Scaevola albida (Sm.) Druce,Scaevola,Goodeniaceae,0.5,mixed,subshrub,perennial,c3,resprouting_possible,no,persister
Schoenus apogon,Schoenus apogon Roem. & Schult.,Schoenus,Cyperaceae,0.25,mixed,graminoid,perennial,c3,resprouting_possible,yes,persister
Senecio bathurstianus,Senecio bathurstianus (DC.) Sch.Bip.,Senecio,Asteraceae,1,anemochory,herb,annual,c3,fire_killed,no,extinct
Senecio hispidulus,Senecio hispidulus A.Rich.,Senecio,Asteraceae,1.3,anemochory,herb,perennial,c3,resprouting_possible,no,persister
Senecio linearifolius,Senecio linearifolius A.Rich.,Senecio,Asteraceae,2,anemochory,shrub,perennial,c3,fire_killed,no,extinct
Senecio quadridentatus,Senecio quadridentatus Labill.,Senecio,Asteraceae,1.2,anemochory,herb,perennial,c3,fire_killed,no,extinct
Solenogyne bellioides,Solenogyne bellioides Cass.,Solenogyne,Asteraceae,0.18,anemochory,herb,perennial,c3,resprouting_possible,no,persister
Sphaeromorphaea australis,Sphaeromorphaea australis (Less.) Kitam.,Sphaeromorphaea,Asteraceae,0.3,epizoochory,herb,perennial,c3,fire_killed,no,extinct
Sporobolus elongatus,Sporobolus elongatus R.Br.,Sporobolus,Poaceae,1,epizoochory,graminoid,perennial,c4,no_significant_fire_response,no,extinct
Stackhousia muricata,Stackhousia muricata Lindl.,Stackhousia,Celastraceae,0.6,zoochory,herb,perennial,c3,fire_killed,no,persister
Syncarpia glomulifera,Syncarpia glomulifera (Sm.) Nied.,Syncarpia,Myrtaceae,25,anemochory,tree,perennial,c3,resprouting_possible,no,extinct
Thelymitra pauciflora,Thelymitra pauciflora R.Br.,Thelymitra,Orchidaceae,0.5,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Themeda triandra,Themeda triandra Forssk.,Themeda,Poaceae,2,epizoochory,graminoid,perennial,c4,resprouting_possible,no,persister
Thysanotus tuberosus,Thysanotus tuberosus R.Br.,Thysanotus,Asparagaceae,0.7,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister
Tricoryne elatior,Tricoryne elatior R.Br.,Tricoryne,Hemerocallidaceae,0.7,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Tricoryne simplex,Tricoryne simplex R.Br.,Tricoryne,Hemerocallidaceae,0.3,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Triglochin striata,Triglochin striata Ruiz & Pav.,Triglochin,Juncaginaceae,0.5,hydrochory,herb,perennial,c3,resprouting_possible,yes,persister
Triptilodiscus pygmaeus,Triptilodiscus pygmaeus Turcz.,Triptilodiscus,Asteraceae,0.12,anemochory,herb,annual,c3,fire_killed,no,persister
Typha domingensis,Typha domingensis Pers.,Typha,Typhaceae,4,anemochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Typha orientalis,Typha orientalis C.Presl,Typha,Typhaceae,4.5,anemochory,herb,perennial,c3,resprouting_possible,yes,persister
Urochloa foliosa,Urochloa foliosa (R.Br.) R.D.Webster,Urochloa,Poaceae,0.9,anemochory,graminoid,perennial,c4,fire_killed,no,extinct
Veronica calycina,Veronica calycina R.Br.,Veronica,Plantaginaceae,0.5,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Veronica plebeia,Veronica plebeia R.Br.,Veronica,Plantaginaceae,0.4,barochory,herb,perennial,c3,resprouting_possible,no,persister
Vincetoxicum barbatum,Vincetoxicum barbatum (R.Br.) Kuntze,Vincetoxicum,Apocynaceae,2,anemochory,climber_woody,perennial,c3,resprouting_possible,no,persister
Viola betonicifolia,Viola betonicifolia Sm.,Viola,Violaceae,0.2,myrmecochory,herb,perennial,c3,resprouting_possible,no,extinct
Vittadinia cuneata,Vittadinia cuneata DC.,Vittadinia,Asteraceae,0.4,anemochory,subshrub,perennial,c3,resprouting_possible,no,persister
Vittadinia muelleri,Vittadinia muelleri N.T.Burb.,Vittadinia,Asteraceae,0.3,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Wahlenbergia capillaris,Wahlenbergia capillaris (G.Lodd.) G.Don,Wahlenbergia,Campanulaceae,0.75,mixed,herb,perennial,c3,resprouting_possible,no,extinct
Wahlenbergia gracilis,Wahlenbergia gracilis (G.Forst.) A.DC.,Wahlenbergia,Campanulaceae,0.8,anemochory,herb,perennial,c3,resprouting_possible,no,persister
Wahlenbergia stricta,Wahlenbergia stricta (R.Br.) Sweet,Wahlenbergia,Campanulaceae,0.9,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Xanthorrhoea minor,Xanthorrhoea minor R.Br.,Xanthorrhoea,Xanthorrhoeaceae,1.48,barochory,shrub,perennial,c3,resprouting_possible,no,persister
Zieria smithii,Zieria smithii Andrews,Zieria,Rutaceae,2,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Zornia dyctiocarpa,Zornia dyctiocarpa DC.,Zornia,Fabaceae,0.3,epizoochory,herb,perennial,c3,resprouting_possible,no,persister
