taxon_name,APC_name,genus,family,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status
Brunoniella australis,Brunoniella australis (Cav.) Bremek.,Brunoniella,Acanthaceae,0.2,barochory,herb,perennial,c3,resprouting_possible,no,persister
Brunoniella pumilio,Brunoniella pumilio (R.Br.) Bremek.,Brunoniella,Acanthaceae,0.09,barochory,herb,perennial,c3,resprouting_possible,no,persister
Bursaria spinosa,Bursaria spinosa Cav.,Bursaria,Pittosporaceae,12,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Caesia parviflora,Caesia parviflora R.Br.,Caesia,Hemerocallidaceae,0.55,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister
Callistemon linearifolius,Callistemon linearifolius (Link) DC.,Callistemon,Myrtaceae,4,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Callistemon linearis,Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,Callistemon,Myrtaceae,3,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Callistemon pinifolius,Callistemon pinifolius (J.C.Wendl.) Sweet,Callistemon,Myrtaceae,2,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Callistemon salignus,Callistemon salignus (Sm.) Colvill ex Sweet,Callistemon,Myrtaceae,10,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Calotis cuneifolia,Calotis cuneifolia R.Br.,Calotis,Asteraceae,0.6,epizoochory,herb,perennial,c3,resprouting_possible,no,persister
Calotis lappulacea,Calotis lappulacea Benth.,Calotis,Asteraceae,0.5,epizoochory,shrub,perennial,c3,resprouting_possible,no,persister
Cardamine lilacina,Cardamine lilacina Hook.,Cardamine,Brassicaceae,0.5,epizoochory,herb,perennial,c3,resprouting_possible,no,extinct
Carex inversa,Carex inversa R.Br.,Carex,Cyperaceae,0.75,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Cassinia sifton,Cassinia sifton Orchard,Cassinia,Asteraceae,2.66,anemochory,shrub,perennial,c3,fire_killed,no,persister
Cassytha glabella,Cassytha glabella R.Br.,Cassytha,Lauraceae,1,endozoochory,climber,perennial,c3,fire_killed,no,extinct
Cassytha paniculata,Cassytha paniculata R.Br.,Cassytha,Lauraceae,0.4,endozoochory,climber,perennial,c3,fire_killed,no,persister
Casuarina glauca,Casuarina glauca Sieber ex Spreng.,Casuarina,Casuarinaceae,20,anemochory,tree,perennial,c3,resprouting_possible,yes,persister
Centella asiatica,Centella asiatica (L.) Urb.,Centella,Apiaceae,0.4,barochory,herb,perennial,c3,resprouting_possible,yes,persister
Centipeda minima,Centipeda minima (L.) A.Braun & Asch.,Centipeda,Asteraceae,0.2,epizoochory,herb,short_lived_perennial,c3,fire_killed,yes,persister
Cheilanthes sieberi,Cheilanthes sieberi Kunze,Cheilanthes,Pteridaceae,0.35,barochory,fern,perennial,c3,resprouting_possible,no,persister
Chloris truncata,Chloris truncata R.Br.,Chloris,Poaceae,0.5,anemochory,graminoid,perennial,c4,resprouting_possible,no,persister
Chloris ventricosa,Chloris ventricosa R.Br.,Chloris,Poaceae,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,persister
Chorizema parviflorum,Chorizema parviflorum Benth.,Chorizema,Fabaceae,0.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Chrysocephalum apiculatum,Chrysocephalum apiculatum (Labill.) Steetz,Chrysocephalum,Asteraceae,0.8,anemochory,herb,perennial,c3,resprouting_possible,no,persister
Clematis aristata,Clematis aristata R.Br. ex Ker Gawl.,Clematis,Ranunculaceae,15,anemochory,climber_woody,perennial,c3,resprouting_possible,no,persister
Clematis glycinoides,Clematis glycinoides DC.,Clematis,Ranunculaceae,25,anemochory,climber_woody,perennial,c3,resprouting_possible,no,persister
Commelina cyanea,Commelina cyanea R.Br.,Commelina,Commelinaceae,0.1,barochory,herb,perennial,c3,resprouting_possible,no,persister
Commersonia dasyphylla,Commersonia dasyphylla Andrews,Commersonia,Malvaceae,4,myrmecochory,shrub,perennial,c3,fire_killed,no,extinct
Coronidium scorpioides,Coronidium scorpioides (Labill.) Paul G.Wilson,Coronidium,Asteraceae,0.5,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Correa reflexa,Correa reflexa (Labill.) Vent.,Correa,Rutaceae,3,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Cotula australis,Cotula australis (Sieber ex Spreng.) Hook.f.,Cotula,Asteraceae,0.2,mixed,herb,perennial,c3,fire_killed,no,persister
