taxon_name,family,species_author,mesaglio_2024,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status,dispersal_coarse
Callistemon linearifolius,Myrtaceae,Callistemon linearifolius (Link) DC.,yes,4,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Callistemon linearis,Myrtaceae,Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,yes,5,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Callistemon pinifolius,Myrtaceae,Callistemon pinifolius (J.C.Wendl.) Sweet,yes,4,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Melaleuca diosmatifolia,Myrtaceae,Melaleuca diosmatifolia Dum.Cours.,yes,4,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Melaleuca nodosa,Myrtaceae,Melaleuca nodosa (Sol. ex Gaertn.) Sm.,yes,4,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Melaleuca thymifolia,Myrtaceae,Melaleuca thymifolia Sm.,yes,2,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Kunzea ambigua,Myrtaceae,Kunzea ambigua (Sm.) Druce,yes,5,mixed,shrub,perennial,c3,fire_killed,no,persister,mixed
Arthropodium sp. South-east Highlands (N.G.Walsh 811),Asparagaceae,Arthropodium sp. South-east Highlands (N.G.Walsh 811),yes,1.16,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Notelaea longifolia,Oleaceae,Notelaea longifolia Vent.,yes,9,endozoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Notelaea ovata,Oleaceae,Notelaea ovata R.Br.,yes,1,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Epilobium billardiereanum,Onagraceae,Epilobium billardiereanum Ser.,yes,1,anemochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Diuris sulphurea,Orchidaceae,Diuris sulphurea R.Br.,no,0.6,anemochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Microtis,Orchidaceae,Microtis,no,0.6,anemochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Thelymitra pauciflora,Orchidaceae,Thelymitra pauciflora R.Br.,no,0.5,anemochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Diuris maculata,Orchidaceae,Diuris maculata Sm.,yes,0.3,anemochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Pterostylis nutans,Orchidaceae,Pterostylis nutans R.Br.,yes,0.4,anemochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Oxalis perennans,Oxalidaceae,Oxalis perennans Haw.,yes,0.5,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Oxalis thompsoniae,Oxalidaceae,Oxalis thompsoniae B.J.Conn & P.G.Richards,yes,0.25,barochory,herb,perennial,c3,fire_killed,no,persister,abiotic
Breynia oblongifolia,Phyllanthaceae,Breynia oblongifolia (Müll.Arg.) Müll.Arg.,yes,8,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Phyllanthus gunnii,Phyllanthaceae,Phyllanthus gunnii Hook.f.,yes,5,mixed,shrub,perennial,c3,resprouting_possible,no,persister,mixed
Glochidion ferdinandi,Phyllanthaceae,Glochidion ferdinandi (Müll.Arg.) F.M.Bailey,yes,35,endozoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Poranthera microphylla,Phyllanthaceae,Poranthera microphylla Brongn.,yes,0.45,mixed,herb,annual,c3,resprouting_possible,no,persister,mixed
Billardiera scandens,Pittosporaceae,Billardiera scandens Sm.,no,3,endozoochory,climber_woody,perennial,c3,resprouting_possible,no,extinct,biotic
Pittosporum undulatum,Pittosporaceae,Pittosporum undulatum Vent.,yes,27.5,endozoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Pittosporum multiflorum,Pittosporaceae,"Pittosporum multiflorum (A.Cunn. ex Loudon) L.W.Cayzer, Crisp & I.Telford",yes,4.2,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Pittosporum revolutum,Pittosporaceae,Pittosporum revolutum W.T.Aiton,yes,6,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Bursaria spinosa,Pittosporaceae,Bursaria spinosa Cav.,yes,12,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Plantago varia,Plantaginaceae,Plantago varia R.Br.,no,0.2,barochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Veronica calycina,Plantaginaceae,Veronica calycina R.Br.,no,0.5,barochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Gratiola pedunculata,Plantaginaceae,Gratiola pedunculata R.Br.,yes,0.5,epizoochory,herb,perennial,c3,resprouting_possible,yes,persister,biotic
Plantago debilis,Plantaginaceae,Plantago debilis R.Br.,yes,0.4,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Veronica plebeia,Plantaginaceae,Veronica plebeia R.Br.,yes,0.4,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Paspalidium aversum,Poaceae,Paspalidium aversum Vickery,no,0.9,mixed,graminoid,perennial,c4,resprouting_possible,yes,extinct,mixed
Paspalum vaginatum,Poaceae,Paspalum vaginatum Sw.,no,0.6,epizoochory,graminoid,perennial,c4,resprouting_possible,yes,extinct,biotic
Deyeuxia quadriseta,Poaceae,Deyeuxia quadriseta (Labill.) Benth.,no,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Poa labillardierei,Poaceae,Poa labillardierei Steud.,no,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Echinochloa telmatophila,Poaceae,Echinochloa telmatophila P.W.Michael & Vickery,no,2,anemochory,graminoid,annual,c4,fire_killed,yes,extinct,abiotic
Amphibromus neesii,Poaceae,Amphibromus neesii Steud.,no,1.5,epizoochory,graminoid,perennial,c3,fire_killed,yes,extinct,biotic
Bothriochloa decipiens,Poaceae,Bothriochloa decipiens (Hack.) C.E.Hubb.,no,2,mixed,graminoid,perennial,c4,resprouting_possible,no,extinct,mixed
Sporobolus elongatus,Poaceae,Sporobolus elongatus R.Br.,no,1,mixed,graminoid,perennial,c4,resprouting_possible,no,extinct,mixed
Aristida ramosa,Poaceae,Aristida ramosa R.Br.,no,1.2,epizoochory,graminoid,perennial,c4,resprouting_possible,no,extinct,biotic
Digitaria ramularis,Poaceae,Digitaria ramularis (Trin.) Henrard,no,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,extinct,abiotic
Panicum effusum,Poaceae,Panicum effusum R.Br.,no,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,extinct,abiotic
Lachnagrostis aemula,Poaceae,Lachnagrostis aemula (R.Br.) Trin.,no,0.8,mixed,graminoid,perennial,c3,resprouting_possible,no,extinct,mixed
Austrostipa pubescens,Poaceae,Austrostipa pubescens (R.Br.) S.W.L.Jacobs & J.Everett,no,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Austrostipa scabra,Poaceae,Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett,no,0.95,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Austrostipa setacea,Poaceae,Austrostipa setacea (R.Br.) S.W.L.Jacobs & J.Everett,no,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Dichelachne rara,Poaceae,Dichelachne rara (R.Br.) Vickery,no,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Poa affinis,Poaceae,Poa affinis R.Br.,no,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Rytidosperma bipartitum,Poaceae,Rytidosperma bipartitum (Link) A.M.Humphreys & H.P.Linder,no,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Rytidosperma longifolium,Poaceae,Rytidosperma longifolium (R.Br.) Connor & Edgar,no,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Rytidosperma racemosum,Poaceae,Rytidosperma racemosum (R.Br.) Connor & Edgar,no,0.75,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Eragrostis benthamii,Poaceae,Eragrostis benthamii Mattei,no,0.6,mixed,graminoid,perennial,c4,NA,no,extinct,mixed
Eragrostis elongata,Poaceae,Eragrostis elongata (Willd.) J.Jacq.,no,0.9,mixed,graminoid,perennial,c4,fire_killed,no,extinct,mixed
Eragrostis parviflora,Poaceae,Eragrostis parviflora (R.Br.) Trin.,no,1.35,barochory,graminoid,perennial,c4,fire_killed,no,extinct,abiotic
Urochloa foliosa,Poaceae,Urochloa foliosa (R.Br.) R.D.Webster,no,0.9,anemochory,graminoid,perennial,c4,fire_killed,no,extinct,abiotic
Lachnagrostis filiformis,Poaceae,Lachnagrostis filiformis (G.Forst.) Trin.,yes,1,anemochory,graminoid,perennial,c3,resprouting_possible,yes,persister,abiotic
Phragmites australis,Poaceae,Phragmites australis (Cav.) Trin. ex Steud.,yes,6,anemochory,graminoid,perennial,c3,resprouting_possible,yes,persister,abiotic
Eragrostis brownii,Poaceae,Eragrostis brownii (Kunth) Nees,yes,0.6,mixed,graminoid,perennial,c4,resprouting_possible,no,persister,mixed
Eragrostis leptostachya,Poaceae,Eragrostis leptostachya (R.Br.) Steud.,yes,1,mixed,graminoid,perennial,c4,resprouting_possible,no,persister,mixed
Panicum simile,Poaceae,Panicum simile Domin,yes,0.7,mixed,graminoid,perennial,c4,resprouting_possible,no,persister,mixed
Paspalidium criniforme,Poaceae,Paspalidium criniforme S.T.Blake,yes,0.6,mixed,graminoid,perennial,c4,resprouting_possible,no,persister,mixed
Aristida vagans,Poaceae,Aristida vagans Cav.,yes,0.8,epizoochory,graminoid,perennial,c4,resprouting_possible,no,persister,biotic
Bothriochloa macra,Poaceae,Bothriochloa macra (Steud.) S.T.Blake,yes,1,epizoochory,graminoid,perennial,c4,resprouting_possible,no,persister,biotic
Cymbopogon refractus,Poaceae,Cymbopogon refractus (R.Br.) A.Camus,yes,1.5,epizoochory,graminoid,perennial,c4,resprouting_possible,no,persister,biotic
Themeda triandra,Poaceae,Themeda triandra Forssk.,yes,2,epizoochory,graminoid,perennial,c4,resprouting_possible,no,persister,biotic
Paspalidium distans,Poaceae,Paspalidium distans (Trin.) Hughes,yes,1,barochory,graminoid,perennial,c4,resprouting_possible,no,persister,abiotic
Chloris truncata,Poaceae,Chloris truncata R.Br.,yes,0.5,anemochory,graminoid,perennial,c4,resprouting_possible,no,persister,abiotic
Chloris ventricosa,Poaceae,Chloris ventricosa R.Br.,yes,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,persister,abiotic
Digitaria parviflora,Poaceae,Digitaria parviflora (R.Br.) Hughes,yes,1.5,anemochory,graminoid,perennial,c4,resprouting_possible,no,persister,abiotic
Imperata cylindrica,Poaceae,Imperata cylindrica (L.) P.Beauv.,yes,1.5,anemochory,graminoid,perennial,c4,resprouting_possible,no,persister,abiotic
Entolasia marginata,Poaceae,Entolasia marginata (R.Br.) Hughes,yes,0.8,mixed,graminoid,perennial,c3,resprouting_possible,no,persister,mixed
Entolasia stricta,Poaceae,Entolasia stricta (R.Br.) Hughes,yes,1.2,mixed,graminoid,perennial,c3,resprouting_possible,no,persister,mixed
Poa sieberiana,Poaceae,Poa sieberiana Spreng.,yes,1.07,mixed,graminoid,perennial,c3,resprouting_possible,no,persister,mixed
Anthosachne scabra,Poaceae,Anthosachne scabra (R.Br.) Nevski,yes,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Austrostipa rudis,Poaceae,Austrostipa rudis (Spreng.) S.W.L.Jacobs & J.Everett,yes,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Dichelachne micrantha,Poaceae,Dichelachne micrantha (Cav.) Domin,yes,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Echinopogon caespitosus,Poaceae,Echinopogon caespitosus C.E.Hubb.,yes,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Echinopogon ovatus,Poaceae,Echinopogon ovatus (G.Forst.) P.Beauv.,yes,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Microlaena stipoides,Poaceae,Microlaena stipoides (Labill.) R.Br.,yes,1,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Oplismenus hirtellus,Poaceae,Oplismenus hirtellus (L.) P.Beauv.,yes,3,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Rytidosperma fulvum,Poaceae,Rytidosperma fulvum (Vickery) A.M.Humphreys & H.P.Linder,yes,1.15,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Rytidosperma setaceum,Poaceae,Rytidosperma setaceum (R.Br.) Connor & Edgar,yes,1,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Rytidosperma tenuius,Poaceae,Rytidosperma tenuius (Steud.) A.Hansen & Sunding,yes,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Eriochloa pseudoacrotricha,Poaceae,Eriochloa pseudoacrotricha (Stapf ex Thell.) J.M.Black,yes,1,mixed,graminoid,perennial,c4,fire_killed,no,persister,mixed
Polygala japonica,Polygalaceae,Polygala japonica Houtt.,no,0.25,mixed,subshrub,perennial,c3,resprouting_possible,no,extinct,mixed
Persicaria decipiens,Polygonaceae,Persicaria decipiens (R.Br.) K.L.Wilson,yes,1,epizoochory,herb,perennial,c3,resprouting_possible,yes,persister,biotic
Persicaria lapathifolia,Polygonaceae,Persicaria lapathifolia (L.) Delarbre,yes,2,epizoochory,herb,biennial,c3,resprouting_possible,yes,persister,biotic
Rumex brownii,Polygonaceae,Rumex brownii Campd.,yes,1.05,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Portulaca oleracea,Portulacaceae,Portulaca oleracea L.,yes,0.2,barochory,herb,annual,c4,resprouting_possible,no,persister,abiotic
Myrsine variabilis,Primulaceae,Myrsine variabilis R.Br.,yes,13,endozoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Persoonia linearis,Proteaceae,Persoonia linearis Andrews,yes,5,endozoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Hakea sericea,Proteaceae,Hakea sericea Schrad. & J.C.Wendl.,yes,4.5,anemochory,tree,perennial,c3,fire_killed,no,persister,abiotic
Cheilanthes sieberi,Pteridaceae,Cheilanthes sieberi Kunze,yes,0.5,barochory,fern,perennial,c3,resprouting_possible,no,persister,abiotic
Adiantum aethiopicum,Pteridaceae,Adiantum aethiopicum L.,yes,0.5,anemochory,fern,perennial,c3,resprouting_possible,no,persister,abiotic
Pellaea falcata,Pteridaceae,Pellaea falcata (R.Br.) Fée,yes,1,anemochory,fern,perennial,c3,resprouting_possible,no,persister,abiotic
Ranunculus lappaceus,Ranunculaceae,Ranunculus lappaceus Sm.,no,1.7,mixed,herb,perennial,c3,resprouting_possible,no,extinct,mixed
Clematis aristata,Ranunculaceae,Clematis aristata R.Br. ex Ker Gawl.,yes,15,anemochory,climber_woody,perennial,c3,resprouting_possible,no,persister,abiotic
Clematis glycinoides,Ranunculaceae,Clematis glycinoides DC.,yes,3,anemochory,climber_woody,perennial,c3,resprouting_possible,no,persister,abiotic
Pomaderris lanigera,Rhamnaceae,Pomaderris lanigera (Andrews) Sims,no,5,myrmecochory,tree,perennial,c3,resprouting_possible,no,extinct,biotic
Pomaderris ferruginea,Rhamnaceae,Pomaderris ferruginea Sieber ex Fenzl,yes,4,myrmecochory,shrub,perennial,c3,fire_killed,no,persister,biotic
Rubus parvifolius,Rosaceae,Rubus parvifolius L.,yes,1,endozoochory,climber_woody,perennial,c3,resprouting_possible,no,persister,biotic
Opercularia aspera,Rubiaceae,Opercularia aspera Gaertn.,no,2,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,extinct,biotic
Opercularia diphylla,Rubiaceae,Opercularia diphylla Gaertn.,yes,0.29,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Opercularia varia,Rubiaceae,Opercularia varia Hook.f.,yes,0.3,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Asperula conferta,Rubiaceae,Asperula conferta Hook.f.,yes,0.3,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Asterolasia correifolia,Rutaceae,Asterolasia correifolia (A.Juss.) Benth.,no,2.5,myrmecochory,shrub,perennial,c3,fire_killed,no,extinct,biotic
Correa reflexa,Rutaceae,Correa reflexa (Labill.) Vent.,yes,3,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Zieria smithii,Rutaceae,Zieria smithii Andrews,yes,2,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Boronia polygalifolia,Rutaceae,Boronia polygalifolia Sm.,yes,0.6,ballistic,subshrub,perennial,c3,resprouting_possible,no,persister,abiotic
Exocarpos strictus,Santalaceae,Exocarpos strictus R.Br.,no,6,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct,biotic
Omphacomeria acerba,Santalaceae,Omphacomeria acerba (R.Br.) A.DC.,no,1.5,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct,biotic
Exocarpos cupressiformis,Santalaceae,Exocarpos cupressiformis Labill.,yes,10,endozoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Dodonaea triquetra,Sapindaceae,Dodonaea triquetra J.C.Wendl.,yes,3.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Eremophila debilis,Scrophulariaceae,Eremophila debilis (Andrews) Chinnock,yes,2,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Myoporum boninense,Scrophulariaceae,Myoporum boninense Koidz.,yes,2.8,endozoochory,shrub,perennial,c3,fire_killed,no,persister,biotic
Pimelea linifolia,Thymelaeaceae,Pimelea linifolia Sm.,yes,1.68,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Typha domingensis,Typhaceae,Typha domingensis Pers.,no,4,anemochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,abiotic
Typha orientalis,Typhaceae,Typha orientalis C.Presl,yes,4.5,anemochory,graminoid,perennial,c3,resprouting_possible,yes,persister,abiotic
Viola betonicifolia,Violaceae,Viola betonicifolia Sm.,no,0.2,myrmecochory,herb,perennial,c3,resprouting_possible,no,extinct,biotic
Xanthorrhoea minor,Xanthorrhoeaceae,Xanthorrhoea minor R.Br.,yes,1.48,barochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Macrozamia spiralis,Zamiaceae,Macrozamia spiralis (Salisb.) Miq.,yes,1.04,barochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
