taxon_name,dispersal
Zornia dyctiocarpa,epizoochory
Acacia pubescens,myrmecochory
Callistemon linearifolius,anemochory
Callistemon pinifolius,anemochory
Callistemon salignus,anemochory
Eucalyptus resinifera,mixed
Melaleuca decora,anemochory
Melaleuca nodosa,anemochory
Melaleuca styphelioides,anemochory
Melaleuca thymifolia,anemochory
Pittosporum multiflorum,endozoochory
Cassinia sifton,anemochory
Lagenophora sublyrata,mixed
