taxon_name,max_max_height
Cassytha glabella,1
Cyperus mirus,0.55
Juncus continuus,1.15
Juncus mollis,1.45
Juncus remotiflorus,0.7
Lomandra fluviatilis,0.75
Microtis ,0.6
Eragrostis benthamii,0.6
