taxon_name,Family,Genus,Species with author,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status
Juncus vaginatus,Juncaceae,Juncus,Juncus vaginatus R.Br.,1.7,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct
Cassytha glabella,Lauraceae,Cassytha,Cassytha glabella R.Br.,1,endozoochory,climber,perennial,c3,fire_killed,no,extinct
Mitrasacme polymorpha,Loganiaceae,Mitrasacme,Mitrasacme polymorpha R.Br.,0.3,mixed,herb,perennial,c3,resprouting_possible,no,extinct
Commersonia dasyphylla,Malvaceae,Commersonia,Commersonia dasyphylla Andrews,4,zoochory,shrub,perennial,c3,fire_killed,no,extinct
Eucalyptus sideroxylon,Myrtaceae,Eucalyptus,Eucalyptus sideroxylon A.Cunn. ex Woolls,35,anemochory,tree,perennial,c3,resprouting_possible,no,extinct
Syncarpia glomulifera,Myrtaceae,Syncarpia,Syncarpia glomulifera (Sm.) Nied.,25,anemochory,tree,perennial,c3,resprouting_possible,no,extinct
Diuris sulphurea,Orchidaceae,Diuris,Diuris sulphurea R.Br.,0.6,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Microtis,Orchidaceae,Microtis,Microtis,0.6,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Thelymitra pauciflora,Orchidaceae,Thelymitra,Thelymitra pauciflora R.Br.,0.5,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Billardiera scandens,Pittosporaceae,Billardiera,Billardiera scandens Sm.,3,endozoochory,climber_woody,perennial,c3,resprouting_possible,no,extinct
Plantago varia,Plantaginaceae,Plantago,Plantago varia R.Br.,0.2,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Veronica calycina,Plantaginaceae,Veronica,Veronica calycina R.Br.,0.5,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Amphibromus neesii,Poaceae,Amphibromus,Amphibromus neesii Steud.,1.5,epizoochory,graminoid,perennial,c3,fire_killed,yes,extinct
Aristida ramosa,Poaceae,Aristida,Aristida ramosa R.Br.,1.2,epizoochory,graminoid,perennial,c4,resprouting_possible,no,extinct
Austrostipa pubescens,Poaceae,Austrostipa,Austrostipa pubescens (R.Br.) S.W.L.Jacobs & J.Everett,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Austrostipa scabra,Poaceae,Austrostipa,Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett,0.95,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Austrostipa setacea,Poaceae,Austrostipa,Austrostipa setacea (R.Br.) S.W.L.Jacobs & J.Everett,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Bothriochloa decipiens,Poaceae,Bothriochloa,Bothriochloa decipiens (Hack.) C.E.Hubb.,2,mixed,graminoid,perennial,c4,resprouting_possible,no,extinct
Deyeuxia quadriseta,Poaceae,Deyeuxia,Deyeuxia quadriseta (Labill.) Benth.,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Dichelachne rara,Poaceae,Dichelachne,Dichelachne rara (R.Br.) Vickery,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Digitaria ramularis,Poaceae,Digitaria,Digitaria ramularis (Trin.) Henrard,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,extinct
Echinochloa telmatophila,Poaceae,Echinochloa,Echinochloa telmatophila P.W.Michael & Vickery,2,anemochory,graminoid,annual,c4,fire_killed,yes,extinct
Eragrostis benthamii,Poaceae,Eragrostis,Eragrostis benthamii Mattei,0.6,mixed,graminoid,perennial,c4,NA,no,extinct
Eragrostis elongata,Poaceae,Eragrostis,Eragrostis elongata (Willd.) J.Jacq.,0.9,mixed,graminoid,perennial,c4,fire_killed,no,extinct
Eragrostis parviflora,Poaceae,Eragrostis,Eragrostis parviflora (R.Br.) Trin.,1.35,barochory,graminoid,perennial,c4,fire_killed,no,extinct
Lachnagrostis aemula,Poaceae,Lachnagrostis,Lachnagrostis aemula (R.Br.) Trin.,0.8,mixed,graminoid,perennial,c3,resprouting_possible,no,extinct
Panicum effusum,Poaceae,Panicum,Panicum effusum R.Br.,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,extinct
Paspalidium aversum,Poaceae,Paspalidium,Paspalidium aversum Vickery,0.9,mixed,graminoid,perennial,c4,resprouting_possible,yes,extinct
Paspalum vaginatum,Poaceae,Paspalum,Paspalum vaginatum Sw.,0.6,epizoochory,graminoid,perennial,c4,resprouting_possible,yes,extinct
Poa affinis,Poaceae,Poa,Poa affinis R.Br.,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Poa labillardierei,Poaceae,Poa,Poa labillardierei Steud.,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Rytidosperma bipartitum,Poaceae,Rytidosperma,Rytidosperma bipartitum (Link) A.M.Humphreys & H.P.Linder,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Rytidosperma longifolium,Poaceae,Rytidosperma,Rytidosperma longifolium (R.Br.) Connor & Edgar,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Rytidosperma racemosum,Poaceae,Rytidosperma,Rytidosperma racemosum (R.Br.) Connor & Edgar,0.75,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Sporobolus elongatus,Poaceae,Sporobolus,Sporobolus elongatus R.Br.,1,mixed,graminoid,perennial,c4,resprouting_possible,no,extinct
Urochloa foliosa,Poaceae,Urochloa,Urochloa foliosa (R.Br.) R.D.Webster,0.9,anemochory,graminoid,perennial,c4,fire_killed,no,extinct
Polygala japonica,Polygalaceae,Polygala,Polygala japonica Houtt.,0.25,mixed,subshrub,perennial,c3,resprouting_possible,no,extinct
Ranunculus lappaceus,Ranunculaceae,Ranunculus,Ranunculus lappaceus Sm.,1.7,mixed,herb,perennial,c3,resprouting_possible,no,extinct
Pomaderris lanigera,Rhamnaceae,Pomaderris,Pomaderris lanigera (Andrews) Sims,5,myrmecochory,tree,perennial,c3,resprouting_possible,no,extinct
Opercularia aspera,Rubiaceae,Opercularia,Opercularia aspera Gaertn.,2,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,extinct
Asterolasia correifolia,Rutaceae,Asterolasia,Asterolasia correifolia (A.Juss.) Benth.,2.5,myrmecochory,shrub,perennial,c3,fire_killed,no,extinct
Exocarpos strictus,Santalaceae,Exocarpos,Exocarpos strictus R.Br.,6,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct
Omphacomeria acerba,Santalaceae,Omphacomeria,Omphacomeria acerba (R.Br.) A.DC.,1.5,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct
Typha domingensis,Typhaceae,Typha,Typha domingensis Pers.,4,anemochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Viola betonicifolia,Violaceae,Viola,Viola betonicifolia Sm.,0.2,myrmecochory,herb,perennial,c3,resprouting_possible,no,extinct
Allocasuarina torulosa,Casuarinaceae,Allocasuarina,Allocasuarina torulosa (Aiton) L.A.S.Johnson,30,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Acacia binervia,Fabaceae,Acacia,Acacia binervia (J.C.Wendl.) J.F.Macbr.,16,zoochory,tree,perennial,c3,fire_killed,no,persister
Acacia brownii,Fabaceae,Acacia,Acacia brownii (Poir.) Steud.,1,zoochory,shrub,perennial,c3,resprouting_possible,no,persister
Acacia decurrens,Fabaceae,Acacia,Acacia decurrens Willd.,15,myrmecochory,tree,perennial,c3,resprouting_possible,no,persister
Acacia falcata,Fabaceae,Acacia,Acacia falcata Willd.,5,zoochory,tree,perennial,c3,fire_killed,no,persister
Acacia longifolia,Fabaceae,Acacia,Acacia longifolia (Andrews) Willd.,10,myrmecochory,tree,perennial,c3,fire_killed,no,persister
Acacia parramattensis,Fabaceae,Acacia,Acacia parramattensis Tindale,15,myrmecochory,tree,perennial,c3,fire_killed,no,persister
Acacia pubescens,Fabaceae,Acacia,Acacia pubescens (Vent.) R.Br.,5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Acacia ulicifolia,Fabaceae,Acacia,Acacia ulicifolia (Salisb.) Court,2.19,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Adiantum aethiopicum,Pteridaceae,Adiantum,Adiantum aethiopicum L.,0.5,anemochory,fern,perennial,c3,resprouting_possible,no,persister
Alternanthera denticulata,Amaranthaceae,Alternanthera,Alternanthera denticulata R.Br.,0.9,hydrochory,herb,perennial,c3,fire_killed,yes,persister
Amyema miquelii,Loranthaceae,Amyema,Amyema miquelii (Lehm. ex Miq.) Tiegh.,NA,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister
Angophora floribunda,Myrtaceae,Angophora,Angophora floribunda (Sm.) Sweet,30,mixed,tree,perennial,c3,resprouting_possible,no,persister
Anthosachne scabra,Poaceae,Anthosachne,Anthosachne scabra (R.Br.) Nevski,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Aristida vagans,Poaceae,Aristida,Aristida vagans Cav.,0.8,epizoochory,graminoid,perennial,c4,resprouting_possible,no,persister
Asperula conferta,Rubiaceae,Asperula,Asperula conferta Hook.f.,0.3,barochory,herb,perennial,c3,resprouting_possible,no,persister
Austrostipa rudis,Poaceae,Austrostipa,Austrostipa rudis (Spreng.) S.W.L.Jacobs & J.Everett,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Boronia polygalifolia,Rutaceae,Boronia,Boronia polygalifolia Sm.,0.6,ballistic,subshrub,perennial,c3,resprouting_possible,no,persister
Bossiaea buxifolia,Fabaceae,Bossiaea,Bossiaea buxifolia A.Cunn.,1.3,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Bossiaea prostrata,Fabaceae,Bossiaea,Bossiaea prostrata R.Br.,1.5,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,persister
Bothriochloa macra,Poaceae,Bothriochloa,Bothriochloa macra (Steud.) S.T.Blake,1,epizoochory,graminoid,perennial,c4,resprouting_possible,no,persister
Brachychiton populneus,Malvaceae,Brachychiton,Brachychiton populneus (Schott & Endl.) R.Br.,20,epizoochory,tree,perennial,c3,resprouting_possible,no,persister
Brachyscome triloba,Asteraceae,Brachyscome,Brachyscome triloba Gaudich.,0.32,zoochory,herb,perennial,c3,resprouting_possible,no,persister
Breynia oblongifolia,Phyllanthaceae,Breynia,Breynia oblongifolia (Müll.Arg.) Müll.Arg.,8,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Brunoniella australis,Acanthaceae,Brunoniella,Brunoniella australis (Cav.) Bremek.,0.2,barochory,herb,perennial,c3,resprouting_possible,no,persister
Brunoniella pumilio,Acanthaceae,Brunoniella,Brunoniella pumilio (R.Br.) Bremek.,0.09,barochory,herb,perennial,c3,resprouting_possible,no,persister
Bursaria spinosa,Pittosporaceae,Bursaria,Bursaria spinosa Cav.,12,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Caesia parviflora,Hemerocallidaceae,Caesia,Caesia parviflora R.Br.,0.55,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister
Callistemon linearifolius,Myrtaceae,Callistemon,Callistemon linearifolius (Link) DC.,4,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Callistemon linearis,Myrtaceae,Callistemon,Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,5,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Callistemon pinifolius,Myrtaceae,Callistemon,Callistemon pinifolius (J.C.Wendl.) Sweet,4,anemochory,shrub,perennial,c3,resprouting_possible,no,persister
Callistemon salignus,Myrtaceae,Callistemon,Callistemon salignus (Sm.) Colvill ex Sweet,15,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Calotis cuneifolia,Asteraceae,Calotis,Calotis cuneifolia R.Br.,0.6,epizoochory,herb,perennial,c3,resprouting_possible,no,persister
Calotis lappulacea,Asteraceae,Calotis,Calotis lappulacea Benth.,0.5,epizoochory,shrub,perennial,c3,resprouting_possible,no,persister
