taxon_name,resprouting_capacity
Rytidosperma longifolium,resprouts
Rytidosperma longifolium,fire_killed
Rytidosperma longifolium,fire_killed
Rytidosperma racemosum,resprouts
Rytidosperma racemosum,resprouts
Senecio bathurstianus,fire_killed
Senecio bathurstianus,fire_killed
Senecio linearifolius,fire_killed
Senecio linearifolius,fire_killed
Senecio linearifolius,fire_killed
Senecio quadridentatus,fire_killed
Senecio quadridentatus,fire_killed
Senecio quadridentatus,fire_killed
Senecio quadridentatus,fire_killed
Sphaeromorphaea australis,fire_killed
Syncarpia glomulifera,resprouts
Syncarpia glomulifera,resprouts
Syncarpia glomulifera,resprouts
Syncarpia glomulifera,resprouts
Thelymitra pauciflora,resprouts
Thelymitra pauciflora,resprouts
Thelymitra pauciflora,resprouts
Thelymitra pauciflora,resprouts
Thelymitra pauciflora,resprouts
Thelymitra pauciflora,resprouts
Thelymitra pauciflora,resprouts
Tricoryne elatior,fire_killed
Tricoryne elatior,resprouts
Tricoryne elatior,resprouts
Tricoryne elatior,resprouts
Tricoryne elatior,resprouts
Tricoryne elatior,resprouts
Tricoryne elatior,resprouts
Tricoryne elatior,resprouts
Tricoryne elatior,resprouts
Tricoryne elatior,resprouts
Tricoryne simplex,resprouts
Tricoryne simplex,resprouts
Typha domingensis,resprouts
Typha domingensis,resprouts
Typha domingensis,resprouts
Typha domingensis,resprouts
Typha domingensis,resprouts
Urochloa foliosa,fire_killed
Urochloa foliosa,fire_killed
Veronica calycina,fire_killed
Veronica calycina,partial_resprouting
Veronica calycina,resprouts
Viola betonicifolia,fire_killed
Viola betonicifolia,resprouts
Viola betonicifolia,resprouts
Vittadinia muelleri,resprouts
Vittadinia muelleri,fire_killed
Wahlenbergia capillaris,resprouts
Wahlenbergia capillaris,resprouts
Wahlenbergia capillaris,partial_resprouting
Wahlenbergia capillaris,resprouts
Wahlenbergia capillaris,resprouts
Wahlenbergia stricta,resprouts
