taxon_name,Family,Genus,Species with author,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status,log_height,dispersal_coarse,epizoo
Echinochloa telmatophila,Poaceae,Echinochloa,Echinochloa telmatophila P.W.Michael & Vickery,2,anemochory,graminoid,annual,c4,fire_killed,yes,extinct,0.693147181,abiotic,no
Eragrostis benthamii,Poaceae,Eragrostis,Eragrostis benthamii Mattei,0.6,mixed,graminoid,perennial,c4,NA,no,extinct,-0.510825624,mixed,no
Eragrostis elongata,Poaceae,Eragrostis,Eragrostis elongata (Willd.) J.Jacq.,0.9,mixed,graminoid,perennial,c4,fire_killed,no,extinct,-0.105360516,mixed,no
Eragrostis parviflora,Poaceae,Eragrostis,Eragrostis parviflora (R.Br.) Trin.,1.35,barochory,graminoid,perennial,c4,fire_killed,no,extinct,0.300104592,abiotic,no
Lachnagrostis aemula,Poaceae,Lachnagrostis,Lachnagrostis aemula (R.Br.) Trin.,0.8,mixed,graminoid,perennial,c3,resprouting_possible,no,extinct,-0.223143551,mixed,no
Panicum effusum,Poaceae,Panicum,Panicum effusum R.Br.,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,extinct,0,abiotic,no
Paspalidium aversum,Poaceae,Paspalidium,Paspalidium aversum Vickery,0.9,mixed,graminoid,perennial,c4,resprouting_possible,yes,extinct,-0.105360516,mixed,no
Paspalum vaginatum,Poaceae,Paspalum,Paspalum vaginatum Sw.,0.6,epizoochory,graminoid,perennial,c4,resprouting_possible,yes,extinct,-0.510825624,biotic,epizoochory
Poa affinis,Poaceae,Poa,Poa affinis R.Br.,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,0.182321557,biotic,epizoochory
Poa labillardierei,Poaceae,Poa,Poa labillardierei Steud.,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,0.262364264,biotic,epizoochory
Rytidosperma bipartitum,Poaceae,Rytidosperma,Rytidosperma bipartitum (Link) A.M.Humphreys & H.P.Linder,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,-0.223143551,biotic,epizoochory
Rytidosperma longifolium,Poaceae,Rytidosperma,Rytidosperma longifolium (R.Br.) Connor & Edgar,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,-0.223143551,biotic,epizoochory
Rytidosperma racemosum,Poaceae,Rytidosperma,Rytidosperma racemosum (R.Br.) Connor & Edgar,0.75,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct,-0.287682072,biotic,epizoochory
Sporobolus elongatus,Poaceae,Sporobolus,Sporobolus elongatus R.Br.,1,mixed,graminoid,perennial,c4,resprouting_possible,no,extinct,0,mixed,no
Urochloa foliosa,Poaceae,Urochloa,Urochloa foliosa (R.Br.) R.D.Webster,0.9,anemochory,graminoid,perennial,c4,fire_killed,no,extinct,-0.105360516,abiotic,no
Polygala japonica,Polygalaceae,Polygala,Polygala japonica Houtt.,0.25,mixed,subshrub,perennial,c3,resprouting_possible,no,extinct,-1.386294361,mixed,no
Ranunculus lappaceus,Ranunculaceae,Ranunculus,Ranunculus lappaceus Sm.,1.7,mixed,herb,perennial,c3,resprouting_possible,no,extinct,0.530628251,mixed,no
Pomaderris lanigera,Rhamnaceae,Pomaderris,Pomaderris lanigera (Andrews) Sims,5,myrmecochory,tree,perennial,c3,resprouting_possible,no,extinct,1.609437912,biotic,no
Opercularia aspera,Rubiaceae,Opercularia,Opercularia aspera Gaertn.,2,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,extinct,0.693147181,biotic,no
Asterolasia correifolia,Rutaceae,Asterolasia,Asterolasia correifolia (A.Juss.) Benth.,2.5,myrmecochory,shrub,perennial,c3,fire_killed,no,extinct,0.916290732,biotic,no
Exocarpos strictus,Santalaceae,Exocarpos,Exocarpos strictus R.Br.,6,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct,1.791759469,biotic,no
Omphacomeria acerba,Santalaceae,Omphacomeria,Omphacomeria acerba (R.Br.) A.DC.,1.5,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct,0.405465108,biotic,no
Typha domingensis,Typhaceae,Typha,Typha domingensis Pers.,4,anemochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,1.386294361,abiotic,no
