Family,Genus,Species with author,taxon_name,Establishment means,Price 1979,Price 1988,Gibson 1992,Mesaglio 2023
Poaceae,Austrostipa,Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett,Austrostipa scabra,native,Yes,Yes,No,No
Poaceae,Austrostipa,Austrostipa setacea (R.Br.) S.W.L.Jacobs & J.Everett,Austrostipa setacea,native,No,No,Yes,No
Poaceae,Bothriochloa,Bothriochloa decipiens (Hack.) C.E.Hubb.,Bothriochloa decipiens,native,No,Yes,No,No
Poaceae,Deyeuxia,Deyeuxia quadriseta (Labill.) Benth.,Deyeuxia quadriseta,native,Yes,Yes,No,No
Poaceae,Dichelachne,Dichelachne rara (R.Br.) Vickery,Dichelachne rara,native,Yes,Yes,No,No
Poaceae,Digitaria,Digitaria ramularis (Trin.) Henrard,Digitaria ramularis,native,No,Yes,No,No
Poaceae,Echinochloa,Echinochloa telmatophila P.W.Michael & Vickery,Echinochloa telmatophila,native,No,Yes,No,No
Poaceae,Eragrostis,Eragrostis benthamii Mattei,Eragrostis benthamii,native,Yes,Yes,No,No
Poaceae,Eragrostis,Eragrostis elongata (Willd.) J.Jacq.,Eragrostis elongata,native,No,Yes,No,No
Poaceae,Eragrostis,Eragrostis parviflora (R.Br.) Trin.,Eragrostis parviflora,native,No,Yes,No,No
Poaceae,Lachnagrostis,Lachnagrostis aemula (R.Br.) Trin.,Lachnagrostis aemula,native,Yes,Yes,No,No
Poaceae,Panicum,Panicum effusum R.Br.,Panicum effusum,native,No,Yes,No,No
Poaceae,Paspalidium,Paspalidium aversum Vickery,Paspalidium aversum,native,Yes,Yes,No,No
Poaceae,Paspalum,Paspalum vaginatum Sw.,Paspalum vaginatum,native,No,Yes,No,No
Poaceae,Poa,Poa affinis R.Br.,Poa affinis,native,Yes,Yes,No,No
Poaceae,Poa,Poa labillardierei Steud. ,Poa labillardierei,native,No,Yes,No,No
Poaceae,Rytidosperma,Rytidosperma bipartitum (Link) A.M.Humphreys & H.P.Linder,Rytidosperma bipartitum,native,No,Yes,No,No
Poaceae,Rytidosperma,Rytidosperma longifolium (R.Br.) Connor & Edgar,Rytidosperma longifolium,native,Yes,Yes,No,No
Poaceae,Rytidosperma,Rytidosperma racemosum (R.Br.) Connor & Edgar,Rytidosperma racemosum,native,Yes,Yes,No,No
Poaceae,Sporobolus,Sporobolus elongatus R.Br.,Sporobolus elongatus,native,Yes,Yes,No,No
Poaceae,Urochloa,Urochloa foliosa (R.Br.) R.D.Webster,Urochloa foliosa,native,Yes,Yes,No,No
Polygalaceae,Polygala,Polygala japonica Houtt.,Polygala japonica,native,No,No,Yes,No
Ranunculaceae,Ranunculus,Ranunculus lappaceus Sm.,Ranunculus lappaceus,native,Yes,Yes,No,No
Rhamnaceae,Pomaderris,Pomaderris lanigera (Andrews) Sims,Pomaderris lanigera,native,Yes,Yes,No,No
Rubiaceae,Opercularia,Opercularia aspera Gaertn.,Opercularia aspera,native,Yes,Yes,No,No
Rutaceae,Asterolasia,Asterolasia correifolia (A.Juss.) Benth.,Asterolasia correifolia,native,Yes,Yes,No,No
Santalaceae,Exocarpos,Exocarpos strictus R.Br.,Exocarpos strictus,native,Yes,Yes,No,No
Santalaceae,Omphacomeria,Omphacomeria acerba (R.Br.) A.DC.,Omphacomeria acerba,native,No,Yes,No,No
Typhaceae,Typha,Typha domingensis Pers.,Typha domingensis,native,No,Yes,No,No
Violaceae,Viola,Viola betonicifolia Sm.,Viola betonicifolia,native,Yes,Yes,No,No
